account_name,username,num_followers,influence_rank
mashable,Mashable,2037840,59
cnnbrk,CNN Breaking News,3224475,71
big_picture,The Big Picture,23666,92
theonion,The Onion,2289939,116
time,TIME.com ,2111832,143
breakingnews,Breaking News,1795976,147
bbcbreaking,BBC Breaking News,509756,168
espn,ESPN,572577,187
harvardbiz,Harvard Business Rev,219039,227
gizmodo,Gizmodo,111025,237
techcrunch,TechCrunch,1402254,319
wired,Wired,547187,322
wsj,Wall Street Journal,366133,358
smashingmag,Smashing Magazine,224333,360
pitchforkmedia,Pitchfork,1494896,384
rollingstone,Rolling Stone,133999,436
whitehouse,The White House,1794544,448
cnn,CNN,1196719,473
tweetmeme,TweetMeme,52386,515
peoplemag,People magazine,2099081,565
natgeosociety,National Geographic,274851,603
nytimes,The New York Times,2502914,705
lifehacker,Lifehacker,62302,708
foxnews,Fox News,260081,710
waitwait,waitwait,32895,824
newsweek,Newsweek,1250884,844
huffingtonpost,Huffington Post,632555,849
newscientist,New Scientist,144355,852
mental_floss,Mental Floss,68975,874
theeconomist,The Economist,311109,902
emarketer,eMarketer,30235,906
engadget,Engadget,135418,999
cracked,Cracked.com ,110611,1037
slate,Slate,71091,1040
bbcclick,BBC Click,1749470,1041
fastcompany,Fast Company,148292,1056
reuters,Reuters Top News,194429,1119
incmagazine,Inc. Magazine,109256,1143
eonline,E! Online,2271026,1227
rww,Richard MacManus,1037907,1232
gdgt,gdgt,20556,1315
instyle,InStyle,1716786,1330
mckquarterly,McKinsey Quarterly,90981,1354
enews,E! News,279737,1540
nprnews,NPR News,270561,1572
usatoday,USA TODAY Top News,62790,1628
mtv,MTV,648014,1714
freakonomics,freakonomics,124751,1784
boingboing,Boing Boing,48649,1811
billboarddotcom,Billboard.com ,63766,1818
empiremagazine,Empire Magazine,33335,1905
todayshow,The Today Show,620413,1927
good,GOOD,414956,2003
gawker,Gawker,37980,2027
msnbc_breaking,msnbc Breaking News,59375,2088
cbsnews,CBS News,1575638,2090
guardiantech,Guardian Tech,1592067,2139
usweekly,Us Weekly,228728,2233
life,LIFE.com ,1270303,2277
sciam,Scientific American,88336,2373
pastemagazine,Paste Magazine,64642,2379
drudge_report,Drudge Report,100558,2468
parisreview,The Paris Review,22127,2599
latimes,Los Angeles Times,71287,2625
telegraphnews,Daily Telegraph News,17325,2629
abc7,ABC7 Eyewitness News,36343,2638
arstechnica,Ars Technica,82051,2692
cnnmoney,CNNMoney.com ,219552,2777
nprpolitics,NPR Politics,1801871,2882
nytimesphoto,New York Times Photo,79443,2927
nybooks,NY Review of Books,89827,2966
nielsenwire,Nielsen Wire,13840,2994
io9,io9,12152,3023
sciencechannel,Science Channel,82514,3064
usabreakingnews,USA Breaking News,13987,3120
vanityfairmag,VANITY FAIR,76282,3182
cw_network,CW Network,70031,3183
bbcworld,BBC World News,262857,3202
abc,ABCNews.com ,1119958,3411
themoment,The Moment,1580569,3413
socialmedia2day,Social Media Today,34516,3510
slashdot,Slashdot,29011,3527
washingtonpost,The Washington Post,149617,3636
tpmmedia,Talking Points Memo,15438,3678
msnbc,msnbc.com ,41155,3696
wnycradiolab,Radiolab,9591,3776
cnnlive,CNN Live,39260,3793
davos,World Economic Forum,1508772,3891
planetmoney,NPR’s Planet Money,81309,3965
cnetnews,CNET News.com,75730,3981
politico,POLITICO,83729,4048
tvnewser,TVNewser,12301,4427
guardiannews,The Guardian,75198,4665
yahoonews,Yahoo! News,37154,4668
seedmag,Seed Magazine,9898,4696
tvguide,TV Guide,586240,4757
travlandleisure,Travel + Leisure,84029,4767
newyorkpost,New York Post,43334,4790
discovermag,DISCOVER Magazine,71913,4816
sciencenewsorg,Science News,75665,4888
