account_name,user_name,username,following_num
nytimes,The New York Times ,Followings 969,Followers 30 936 311 
WSJ,Wall Street Journal ,Followings 1 076,Followers 11 961 330 
voguemagazine,Vogue Magazine ,Followings 531,Followers 11 792 438 
FoxNews,Fox News ,Followings 406,Followers 11 238 760 
enews,E! News ,Followings 121 824,Followers 10 328 085 
AP,The Associated Press ,Followings 7 275,Followers 8 736 830 
mashable,Mashable ,Followings 2 836,Followers 7 822 855 
ABC,ABC News ,Followings 799,Followers 7 718 914 
TechCrunch,TechCrunch ,Followings 858,Followers 7 691 459 
washingtonpost,Washington Post ,Followings 1 299,Followers 7 589 534 
people,People Magazine ,Followings 1 679,Followers 7 374 868 
WIRED,WIRED ,Followings 272,Followers 7 116 434 
NewYorker,The New Yorker ,Followings 377,Followers 6 801 094 
NPR,NPR ,Followings 72 965,Followers 6 245 878 
twitterapi,Twitter API ,Followings 47,Followers 6 120 169 
ELLEmagazine,ELLE Magazine ,Followings 1 106,Followers 5 992 669 
EW,Entertainment Weekly ,Followings 5 790,Followers 5 752 537 
Discovery,Discovery ,Followings 3 340,Followers 5 688 007 
cnni,CNN International ,Followings 364,Followers 5 628 045 
RollingStone,Rolling Stone ,Followings 257,Followers 5 279 722 
foodandwine,Food & Wine ,Followings 699,Followers 4 970 351 
CBSNews,CBS News ,Followings 415,Followers 4 870 269 
LIFE,LIFE ,Followings 235,Followers 4 562 949 
Marvel,Marvel Entertainment ,Followings 741,Followers 4 269 365 
TMZ,TMZ ,Followings 911,Followers 4 245 203 
WomensHealthMag,Women's Health ,Followings 763,Followers 4 232 499 
VanityFair,VANITY FAIR ,Followings 1 104,Followers 4 192 283 
billboard,billboard ,Followings 2 891,Followers 4 128 761 
nytimesbooks,New York Times Books ,Followings 138,Followers 4 031 507 
NickelodeonTV,Nickelodeon ,Followings 2 489,Followers 3 978 544 
BuzzFeed,BuzzFeed ,Followings 3 116,Followers 3 955 754 
ESPNcricinfo,ESPNcricinfo ,Followings 151,Followers 3 943 775 
NBCNews,NBC News ,Followings 2 928,Followers 3 876 084 
parentsmagazine,Parents Magazine ,Followings 9 306,Followers 3 764 262 
MensHealthMag,Men's Health Mag ,Followings 997,Followers 3 519 089 
lifehacker,Lifehacker ,Followings 41,Followers 3 489 963 
business,Bloomberg ,Followings 872,Followers 3 438 014 
HarvardBiz,Harvard Biz Review ,Followings 194,Followers 3 300 734 
goodhealth,Health ,Followings 1 395,Followers 3 197 433 
MarketWatch,MarketWatch ,Followings 182,Followers 3 053 908 
Newsweek,Newsweek ,Followings 59,Followers 3 021 471 
