Cluster Method,Cluster Num,Conductance,Clustering Coefficient,Percent Celebrities,Percent Media,Percent Politicians,Number Celebrities,Number Media,Number Politicians
spectral_mentions_2clusters_undir_weight,0,0.39855911008249656,0.006382007399114973,0.3125,0.3055555555555556,0.3819444444444444,45,44,55
spectral_mentions_2clusters_undir_weight,1,0.6128261599910411,0.0011646944875158298,0.35714285714285715,0.35064935064935066,0.2922077922077922,55,54,45
spectral_mentions_2clusters_undir_unweight,0,0.6267792247122955,0.0022919801769869384,0.2987012987012987,0.3051948051948052,0.3961038961038961,46,47,61
spectral_mentions_2clusters_undir_unweight,1,0.47448516050878253,0.0055289753214127005,0.375,0.3541666666666667,0.2708333333333333,54,51,39
spectral_mentions_2clusters_sum_weighted,0,0.0965296803652968,0.0025047606160847145,0.5792682926829268,0.36585365853658536,0.054878048780487805,95,60,9
spectral_mentions_2clusters_sum_weighted,1,0.11735159817351598,0.001576401150646313,0.03731343283582089,0.2835820895522388,0.6791044776119403,5,38,91
spectral_mentions_2clusters_sum_unweighted,0,0.06622547204738985,0.0026826720078674043,0.6530612244897959,0.3333333333333333,0.013605442176870748,96,49,2
spectral_mentions_2clusters_sum_unweighted,1,0.11370788596815994,0.0013707411010799773,0.026490066225165563,0.32450331125827814,0.6490066225165563,4,49,98
spectral_mentions_2clusters_prod_weight,0,0.2197475421774487,0.0011766816836716266,0.12299465240641712,0.3422459893048128,0.5347593582887701,23,64,100
spectral_mentions_2clusters_prod_weight,1,0.23279524214103653,0.002996958690796454,0.6936936936936937,0.3063063063063063,0.0,77,34,0
spectral_mentions_2clusters_prod_unweighted,0,0.13916702945871426,0.0012995049186050622,0.06060606060606061,0.3393939393939394,0.6,10,56,99
spectral_mentions_2clusters_prod_unweighted,1,0.08116867411599671,0.002893879401297498,0.6766917293233082,0.3157894736842105,0.007518796992481203,90,42,1
spectral_mentions_2clusters_bib_weight,0,0.1687968019818704,0.003244550588266739,0.7192982456140351,0.2807017543859649,0.0,82,32,0
spectral_mentions_2clusters_bib_weight,1,0.1477957322222848,0.0012003697621778297,0.09782608695652174,0.358695652173913,0.5434782608695652,18,66,100
spectral_mentions_2clusters_bib_unweight,0,0.11276211637272601,0.0013629683482655548,0.02631578947368421,0.3223684210526316,0.6513157894736842,4,49,99
spectral_mentions_2clusters_bib_unweight,1,0.06591677081886775,0.0026942925170471417,0.6575342465753424,0.3356164383561644,0.00684931506849315,96,49,1
spectral_mentions_2clusters_deg_discount_weight,0,0.2801347237515383,0.005190836583233886,0.23809523809523808,0.2976190476190476,0.4642857142857143,40,50,78
spectral_mentions_2clusters_deg_discount_weight,1,1.5955696612474901,0.0027234992988748254,0.46153846153846156,0.36923076923076925,0.16923076923076924,60,48,22
spectral_mentions_2clusters_deg_discount_unweight,0,0.11611541168191415,0.0013350588677434531,0.03821656050955414,0.33121019108280253,0.6305732484076433,6,52,99
spectral_mentions_2clusters_deg_discount_unweight,1,0.07346938775510205,0.002672163628730823,0.6666666666666666,0.3262411347517731,0.0070921985815602835,94,46,1
spectral_mentions_3clusters_undir_weight,0,0.6518624074733801,0.001150975485636005,0.3586206896551724,0.3586206896551724,0.2827586206896552,52,52,41
spectral_mentions_3clusters_undir_weight,1,0.39855911008249656,0.006382007399114973,0.3125,0.3055555555555556,0.3819444444444444,45,44,55
spectral_mentions_3clusters_undir_weight,2,0.6681802305274188,0.014793839932965482,0.3333333333333333,0.2222222222222222,0.4444444444444444,3,2,4
