,User,Partition,Type
0,algore,3,p
1,ludacris,0,c
2,whowhatwear,1,m
3,billboard,0,m
4,eminem,0,c
5,thehill,2,m
6,mashable,0,m
7,leodicaprio,0,c
8,borisjohnson,2,p
9,ciara,1,c
10,thereval,3,p
11,newsweek,2,m
12,marcorubio,2,p
13,johnkasich,2,p
14,tgowdysc,2,p
15,digg,3,m
16,nikkihaley,2,p
17,freedomworks,3,p
18,sengillibrand,3,p
19,jessicasimpson,1,c
20,kyliejenner,0,c
21,beyonce,0,c
22,kendricklamar,0,c
23,austinmahone,0,c
24,bobbyjindal,3,p
25,salahitareq,1,p
26,nickiminaj,0,c
27,chrisbrown,1,c
28,billclinton,2,p
29,channingtatum,1,c
30,foxsports,1,m
31,travelleisure,2,m
32,corybooker,2,p
33,kobebryant,0,c
34,nasahqphoto,3,p
35,arianagrande,0,c
36,latimes,2,m
37,sensanders,2,p
38,teamcantor,3,p
39,danieltosh,1,c
40,carlyfiorina,2,p
41,jcolenc,0,c
42,fastcompany,0,m
43,gabbygiffords,3,p
44,thehermancain,2,p
45,jimcarrey,3,c
46,katyperry,0,c
47,kdtrey5,1,c
48,pbs,3,m
49,reince,2,p
50,vanityfair,0,m
51,aplusk,1,c
52,wsj,2,m
53,joebiden,2,p
54,lagarde,2,p
55,theatlantic,2,m
56,mcfaul,3,p
57,nickelodeontv,0,m
58,senatorreid,2,p
59,kevinhart4real,0,c
60,victoriajustice,1,c
61,allenwest,2,p
62,discovery,1,m
63,ryanseacrest,1,c
64,speakerryan,2,p
65,charliesheen,1,c
66,parentsmagazine,1,m
67,natgeophotos,3,m
68,jimmykimmel,1,c
69,georgehwbush,2,p
70,people,0,m
71,mariahcarey,1,c
72,ellemagazine,0,m
73,foxnews,2,m
74,kimkardashian,0,c
75,astro_jose,3,p
76,wwd,1,m
77,usher,1,c
78,thenextweb,3,m
79,liltunechi,0,c
80,nbc,0,m
81,gavinnewsom,3,p
82,jlo,1,c
83,iamdiddy,0,c
84,cnni,2,m
85,govmikehuckabee,3,p
86,nancypelosi,3,p
87,espnstatsinfo,1,m
88,newyorker,2,m
89,cbsnews,2,m
90,oprah,0,c
91,scottwalker,2,p
92,harvardbiz,2,m
93,maroon5,1,c
94,randpaul,2,p
95,kendalljenner,1,c
96,louisfarrakhan,1,p
97,ricksantorum,3,p
98,govchristie,2,p
99,stephenathome,2,c
100,ronpaul,3,p
101,nytimesbooks,3,m
102,taylorswift13,0,c
103,sciam,3,m
104,gov,3,m
105,parishilton,1,c
106,gop,2,p
107,speakerboehner,2,p
108,younghollywood,1,m
109,usatoday,2,m
110,billpostmus,3,p
111,hillaryclinton,2,p
112,slate,2,m
113,twitterapi,3,m
114,business,2,m
115,mirandacosgrove,1,c
116,lmfao,1,c
117,nbcnews,2,m
118,univision,2,m
119,shaq,1,c
120,treysongz,1,c
121,elizabethforma,3,p
122,stephencurry30,0,c
123,aliciakeys,1,c
124,jerrybrowngov,3,p
125,kelly_clarkson,1,c
126,tomhanks,0,c
127,usweekly,0,m
128,blakeshelton,1,c
129,hbo,0,m
130,zacefron,1,c
131,tmz,0,m
132,potus,2,p
133,donnabrazile,3,p
134,senschumer,3,p
135,nprpolitics,3,m
136,senwarren,3,p
137,selenagomez,0,c
138,kasimreed,3,p
139,housedemocrats,3,p
140,ddlovato,1,c
141,kanyewest,0,c
142,thr,0,m
143,theellenshow,0,c
144,techcrunch,0,m
145,johnlegend,0,c
146,realsimple,1,m
147,foramerica,3,p
148,rbreich,2,p
149,marieclaire,1,m
150,mileycyrus,1,c
151,repronpaul,2,p
152,mufihannemann,3,p
153,iamqueenlatifah,1,c
154,johncena,1,c
155,entrepreneur,2,m
156,nbaontnt,1,m
157,gameinformer,3,m
158,lindsaylohan,1,c
159,tyrabanks,1,c
160,politico,2,m
161,uninoticias,3,m
162,mindykaling,1,c
163,50cent,1,c
164,kourtneykardash,1,c
165,nytimesarts,0,m
166,dwstweets,3,p
167,brunomars,0,c
168,iggyazalea,0,c
169,conanobrien,0,c
170,gadgetlab,1,m
171,andersoncooper,3,c
172,sentedcruz,3,p
173,britneyspears,1,c
174,enews,0,m
175,bbcbusiness,3,m
176,npr,2,m
177,tyga,1,c
178,realbencarson,2,p
179,billdeblasio,2,p
180,actuallynph,1,c
181,timkaine,2,p
182,washingtonpost,2,m
183,cosmopolitan,0,m
184,khloekardashian,0,c
185,esquirenetwork,1,m
186,wiredscience,3,m
187,nbatv,0,m
188,jessicaalba,1,c
189,jebbush,2,p
190,womenshealthmag,0,m
191,karlrove,3,p
192,robertdowneyjr,1,c
193,johnemichel,3,p
194,realdonaldtrump,2,p
195,governorperry,2,p
196,voterocky2016,3,p
197,billgates,3,c
198,sarahpalinusa,3,p
199,joetrippi,3,p
200,ew,0,m
201,foodandwine,3,m
202,sarahksilverman,3,c
203,buzzfeed,0,m
204,fortunemagazine,0,m
205,evalongoria,3,c
206,xtina,1,c
207,azizansari,1,c
208,camerondallas,0,c
209,iamwill,1,c
210,pharrell,1,c
211,bw,3,m
212,serenawilliams,0,c
213,newtgingrich,2,p
214,govgaryjohnson,3,p
215,cntraveler,3,m
216,bet,1,m
217,history,3,m
218,senmikelee,3,p
219,therock,0,c
220,cnbc,2,m
221,thedemocrats,3,p
222,johnkerry,2,p
223,govwalker,2,p
224,darrellissa,3,p
225,sethmacfarlane,3,c
226,marcanthony,3,c
227,michelebachmann,3,p
228,tmagazine,3,m
229,dccc,3,p
230,goodhealth,1,m
231,travelchannel,1,m
232,ap,2,m
233,shawnmendes,1,c
234,snoopdogg,0,c
235,carmeloanthony,1,c
236,lukebryanonline,1,c
237,cnnmoney,3,m
238,rollingstone,0,m
239,sai,3,m
240,pryan,2,p
241,pink,1,c
242,ashleytisdale,1,c
243,joejonas,1,c
244,repjohnlewis,2,p
245,teenvogue,3,m
246,menshealthmag,0,m
247,alfranken,3,p
248,voguemagazine,0,m
249,johnkingated,3,p
250,businessinsider,2,m
251,lindasuhler,3,p
252,jtimberlake,1,c
253,mittromney,2,p
254,jimdemint,3,p
255,comedycentral,1,m
256,massgovernor,3,p
257,inc,0,m
258,bigsean,1,c
259,tedcruz,2,p
260,bishopnoeljones,3,p
261,nytimes,2,m
262,krisjenner,1,c
263,jasoninthehouse,3,p
264,sciencechannel,0,m
265,kingjames,0,c
266,espndeportes,3,m
267,madam_president,3,p
268,ladygaga,0,c
269,parenting,1,m
270,ambassadorrice,3,p
271,abc,2,m
272,wired,2,m
273,nytimesworld,2,m
274,wizkhalifa,0,c
275,senjohnmccain,2,p
276,weatherchannel,2,m
277,stevemartintogo,1,c
278,ericgarcetti,3,p
279,barackobama,2,p
280,davidaxelrod,3,p
281,condoleezzarice,2,p
