,User,Partition,Type
0,algore,3,p
1,ludacris,1,c
2,whowhatwear,2,m
3,billboard,1,m
4,eminem,1,c
5,thehill,3,m
6,mashable,2,m
7,leodicaprio,3,c
8,borisjohnson,0,p
9,ciara,3,c
10,thereval,0,p
11,newsweek,2,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,digg,3,m
16,nikkihaley,0,p
17,freedomworks,0,p
18,sengillibrand,2,p
19,jessicasimpson,3,c
20,kyliejenner,3,c
21,beyonce,3,c
22,kendricklamar,1,c
23,austinmahone,1,c
24,bobbyjindal,0,p
25,salahitareq,0,p
26,nickiminaj,1,c
27,chrisbrown,1,c
28,billclinton,2,p
29,channingtatum,3,c
30,foxsports,1,m
31,travelleisure,2,m
32,corybooker,0,p
33,kobebryant,1,c
34,nasahqphoto,2,p
35,arianagrande,3,c
36,latimes,3,m
37,sensanders,0,p
38,teamcantor,0,p
39,danieltosh,2,c
40,carlyfiorina,0,p
41,jcolenc,1,c
42,fastcompany,2,m
43,gabbygiffords,0,p
44,thehermancain,0,p
45,jimcarrey,0,c
46,katyperry,3,c
47,kdtrey5,1,c
48,pbs,3,m
49,reince,0,p
50,vanityfair,2,m
51,aplusk,3,c
52,wsj,2,m
53,joebiden,0,p
54,lagarde,2,p
55,theatlantic,2,m
56,mcfaul,0,p
57,nickelodeontv,3,m
58,senatorreid,0,p
59,kevinhart4real,1,c
60,victoriajustice,3,c
61,allenwest,2,p
62,discovery,3,m
63,ryanseacrest,1,c
64,speakerryan,0,p
65,charliesheen,1,c
66,parentsmagazine,1,m
67,natgeophotos,2,m
68,jimmykimmel,1,c
69,georgehwbush,2,p
70,people,3,m
71,mariahcarey,3,c
72,ellemagazine,1,m
73,foxnews,0,m
74,kimkardashian,3,c
75,astro_jose,2,p
76,wwd,3,m
77,usher,1,c
78,thenextweb,2,m
79,liltunechi,1,c
80,nbc,1,m
81,gavinnewsom,0,p
82,jlo,3,c
83,iamdiddy,3,c
84,cnni,2,m
85,govmikehuckabee,0,p
86,nancypelosi,0,p
87,espnstatsinfo,1,m
88,newyorker,2,m
89,cbsnews,2,m
90,oprah,3,c
91,scottwalker,0,p
92,harvardbiz,0,m
93,maroon5,3,c
94,randpaul,0,p
95,kendalljenner,3,c
96,louisfarrakhan,1,p
97,ricksantorum,0,p
98,govchristie,0,p
99,stephenathome,3,c
100,ronpaul,0,p
101,nytimesbooks,2,m
102,taylorswift13,3,c
103,sciam,2,m
104,gov,0,m
105,parishilton,3,c
106,gop,0,p
107,speakerboehner,0,p
108,younghollywood,1,m
109,usatoday,2,m
110,billpostmus,0,p
111,hillaryclinton,0,p
112,slate,0,m
113,twitterapi,3,m
114,business,2,m
115,mirandacosgrove,3,c
116,lmfao,1,c
117,nbcnews,2,m
118,univision,2,m
119,shaq,1,c
120,treysongz,1,c
121,elizabethforma,0,p
122,stephencurry30,1,c
123,aliciakeys,3,c
124,jerrybrowngov,0,p
125,kelly_clarkson,3,c
126,tomhanks,3,c
127,usweekly,3,m
128,blakeshelton,3,c
129,hbo,3,m
130,zacefron,3,c
131,tmz,2,m
132,potus,2,p
133,donnabrazile,0,p
134,senschumer,0,p
135,nprpolitics,0,m
136,senwarren,0,p
137,selenagomez,3,c
138,kasimreed,2,p
139,housedemocrats,0,p
140,ddlovato,3,c
141,kanyewest,1,c
142,thr,1,m
143,theellenshow,1,c
144,techcrunch,3,m
145,johnlegend,3,c
146,realsimple,3,m
147,foramerica,0,p
148,rbreich,2,p
149,marieclaire,2,m
150,mileycyrus,3,c
151,repronpaul,0,p
152,mufihannemann,3,p
153,iamqueenlatifah,1,c
154,johncena,1,c
155,entrepreneur,2,m
156,nbaontnt,1,m
157,gameinformer,2,m
158,lindsaylohan,1,c
159,tyrabanks,3,c
160,politico,0,m
161,uninoticias,2,m
162,mindykaling,3,c
163,50cent,1,c
164,kourtneykardash,3,c
165,nytimesarts,3,m
166,dwstweets,0,p
167,brunomars,1,c
168,iggyazalea,3,c
169,conanobrien,2,c
170,gadgetlab,3,m
171,andersoncooper,3,c
172,sentedcruz,0,p
173,britneyspears,3,c
174,enews,1,m
175,bbcbusiness,2,m
176,npr,2,m
177,tyga,1,c
178,realbencarson,0,p
179,billdeblasio,2,p
180,actuallynph,3,c
181,timkaine,0,p
182,washingtonpost,2,m
183,cosmopolitan,1,m
184,khloekardashian,1,c
185,esquirenetwork,3,m
186,wiredscience,3,m
187,nbatv,1,m
188,jessicaalba,3,c
189,jebbush,0,p
190,womenshealthmag,3,m
191,karlrove,0,p
192,robertdowneyjr,3,c
193,johnemichel,3,p
194,realdonaldtrump,0,p
195,governorperry,0,p
196,voterocky2016,0,p
197,billgates,3,c
198,sarahpalinusa,0,p
199,joetrippi,0,p
200,ew,1,m
201,foodandwine,3,m
202,sarahksilverman,3,c
203,buzzfeed,2,m
204,fortunemagazine,2,m
205,evalongoria,3,c
206,xtina,3,c
207,azizansari,3,c
208,camerondallas,3,c
209,iamwill,1,c
210,pharrell,3,c
211,bw,2,m
212,serenawilliams,1,c
213,newtgingrich,0,p
214,govgaryjohnson,0,p
215,cntraveler,3,m
216,bet,1,m
217,history,3,m
218,senmikelee,0,p
219,therock,3,c
220,cnbc,2,m
221,thedemocrats,0,p
222,johnkerry,0,p
223,govwalker,0,p
224,darrellissa,0,p
225,sethmacfarlane,3,c
226,marcanthony,2,c
227,michelebachmann,0,p
228,tmagazine,2,m
229,dccc,0,p
230,goodhealth,3,m
231,travelchannel,3,m
232,ap,2,m
233,shawnmendes,3,c
234,snoopdogg,1,c
235,carmeloanthony,1,c
236,lukebryanonline,3,c
237,cnnmoney,2,m
238,rollingstone,3,m
239,sai,2,m
240,pryan,0,p
241,pink,3,c
242,ashleytisdale,3,c
243,joejonas,3,c
244,repjohnlewis,2,p
245,teenvogue,2,m
246,menshealthmag,1,m
247,alfranken,0,p
248,voguemagazine,1,m
249,johnkingated,0,p
250,businessinsider,2,m
251,lindasuhler,0,p
252,jtimberlake,1,c
253,mittromney,0,p
254,jimdemint,0,p
255,comedycentral,2,m
256,massgovernor,2,p
257,inc,2,m
258,bigsean,1,c
259,tedcruz,0,p
260,bishopnoeljones,2,p
261,nytimes,2,m
262,krisjenner,3,c
263,jasoninthehouse,0,p
264,sciencechannel,3,m
265,kingjames,1,c
266,espndeportes,2,m
267,madam_president,2,p
268,ladygaga,3,c
269,parenting,2,m
270,ambassadorrice,0,p
271,abc,2,m
272,wired,2,m
273,nytimesworld,2,m
274,wizkhalifa,3,c
275,senjohnmccain,0,p
276,weatherchannel,2,m
277,stevemartintogo,3,c
278,ericgarcetti,2,p
279,barackobama,3,p
280,davidaxelrod,0,p
281,condoleezzarice,0,p
282,ericcantor,0,p
283,wendydavis,2,p
284,nflnetwork,1,m
285,nickjonas,3,c
286,life,2,m
287,jimmyfallon,1,c
288,jeffarazzi,3,p
289,chrischristie,0,p
290,justinbieber,3,c
291,natgeotravel,2,m
292,preetbharara,0,p
293,berniesanders,0,p
294,pitbull,3,c
295,tppatriots,0,p
296,marketwatch,2,m
297,marvel,3,m
