,User,Partition,Type
0,algore,2,p
1,ludacris,1,c
2,whowhatwear,1,m
3,billboard,1,m
4,eminem,1,c
5,thehill,2,m
6,mashable,1,m
7,leodicaprio,2,c
8,borisjohnson,1,p
9,ciara,1,c
10,thereval,2,p
11,newsweek,2,m
12,marcorubio,2,p
13,johnkasich,2,p
14,tgowdysc,2,p
15,digg,1,m
16,nikkihaley,2,p
17,freedomworks,2,p
18,sengillibrand,2,p
19,jessicasimpson,1,c
20,kyliejenner,0,c
21,beyonce,1,c
22,kendricklamar,1,c
23,austinmahone,1,c
24,bobbyjindal,2,p
25,salahitareq,1,p
26,nickiminaj,1,c
27,chrisbrown,1,c
28,billclinton,2,p
29,channingtatum,1,c
30,foxsports,3,m
31,travelleisure,2,m
32,corybooker,2,p
33,kobebryant,3,c
34,nasahqphoto,1,p
35,arianagrande,1,c
36,latimes,2,m
37,sensanders,2,p
38,teamcantor,2,p
39,danieltosh,1,c
40,carlyfiorina,2,p
41,jcolenc,1,c
42,fastcompany,1,m
43,gabbygiffords,2,p
44,thehermancain,2,p
45,jimcarrey,1,c
46,katyperry,1,c
47,kdtrey5,3,c
48,pbs,2,m
49,reince,2,p
50,vanityfair,1,m
51,aplusk,1,c
52,wsj,2,m
53,joebiden,2,p
54,lagarde,2,p
55,theatlantic,2,m
56,mcfaul,2,p
57,nickelodeontv,1,m
58,senatorreid,2,p
59,kevinhart4real,1,c
60,victoriajustice,1,c
61,allenwest,2,p
62,discovery,1,m
63,ryanseacrest,1,c
64,speakerryan,2,p
65,charliesheen,1,c
66,parentsmagazine,1,m
67,natgeophotos,1,m
68,jimmykimmel,1,c
69,georgehwbush,2,p
70,people,1,m
71,mariahcarey,1,c
72,ellemagazine,1,m
73,foxnews,2,m
74,kimkardashian,0,c
75,astro_jose,2,p
76,wwd,0,m
77,usher,1,c
78,thenextweb,2,m
79,liltunechi,1,c
80,nbc,1,m
81,gavinnewsom,2,p
82,jlo,1,c
83,iamdiddy,1,c
84,cnni,2,m
85,govmikehuckabee,2,p
86,nancypelosi,2,p
87,espnstatsinfo,3,m
88,newyorker,2,m
89,cbsnews,2,m
90,oprah,1,c
91,scottwalker,2,p
92,harvardbiz,1,m
93,maroon5,1,c
94,randpaul,2,p
