,User,Partition,Type
0,algore,2,p
1,ludacris,3,c
2,whowhatwear,3,m
3,billboard,1,m
4,eminem,0,c
5,thehill,2,m
6,mashable,2,m
7,leodicaprio,2,c
8,borisjohnson,1,p
9,ciara,2,c
10,thereval,2,p
11,newsweek,2,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,digg,2,m
16,nikkihaley,2,p
17,freedomworks,1,p
18,sengillibrand,1,p
19,jessicasimpson,1,c
20,kyliejenner,3,c
21,beyonce,1,c
22,kendricklamar,0,c
23,austinmahone,1,c
24,bobbyjindal,2,p
25,salahitareq,2,p
26,nickiminaj,2,c
27,chrisbrown,3,c
28,billclinton,2,p
29,channingtatum,2,c
30,foxsports,3,m
31,travelleisure,2,m
32,corybooker,1,p
33,kobebryant,2,c
34,nasahqphoto,2,p
35,arianagrande,1,c
36,latimes,0,m
37,sensanders,0,p
38,teamcantor,1,p
39,danieltosh,3,c
40,carlyfiorina,2,p
41,jcolenc,1,c
42,fastcompany,0,m
43,gabbygiffords,1,p
44,thehermancain,1,p
45,jimcarrey,3,c
46,katyperry,2,c
47,kdtrey5,2,c
48,pbs,0,m
49,reince,2,p
50,vanityfair,1,m
51,aplusk,0,c
52,wsj,0,m
53,joebiden,2,p
54,lagarde,2,p
55,theatlantic,1,m
56,mcfaul,0,p
57,nickelodeontv,1,m
58,senatorreid,1,p
59,kevinhart4real,0,c
60,victoriajustice,1,c
61,allenwest,0,p
62,discovery,1,m
63,ryanseacrest,1,c
64,speakerryan,3,p
65,charliesheen,1,c
66,parentsmagazine,0,m
67,natgeophotos,1,m
68,jimmykimmel,1,c
69,georgehwbush,1,p
70,people,0,m
71,mariahcarey,1,c
72,ellemagazine,2,m
73,foxnews,1,m
74,kimkardashian,3,c
75,astro_jose,3,p
76,wwd,3,m
77,usher,1,c
78,thenextweb,2,m
79,liltunechi,1,c
80,nbc,1,m
81,gavinnewsom,2,p
82,jlo,0,c
83,iamdiddy,2,c
84,cnni,3,m
85,govmikehuckabee,2,p
86,nancypelosi,0,p
87,espnstatsinfo,1,m
88,newyorker,0,m
89,cbsnews,2,m
90,oprah,1,c
91,scottwalker,1,p
92,harvardbiz,1,m
93,maroon5,3,c
94,randpaul,0,p
95,kendalljenner,2,c
96,louisfarrakhan,1,p
97,ricksantorum,2,p
98,govchristie,2,p
99,stephenathome,1,c
100,ronpaul,2,p
101,nytimesbooks,1,m
102,taylorswift13,0,c
103,sciam,1,m
104,gov,0,m
105,parishilton,0,c
106,gop,1,p
107,speakerboehner,0,p
108,younghollywood,0,m
109,usatoday,0,m
110,billpostmus,2,p
111,hillaryclinton,2,p
112,slate,2,m
113,twitterapi,2,m
114,business,0,m
115,mirandacosgrove,0,c
116,lmfao,2,c
117,nbcnews,2,m
118,univision,1,m
119,shaq,3,c
120,treysongz,0,c
121,elizabethforma,3,p
122,stephencurry30,1,c
123,aliciakeys,2,c
124,jerrybrowngov,1,p
125,kelly_clarkson,2,c
126,tomhanks,1,c
127,usweekly,1,m
128,blakeshelton,2,c
129,hbo,1,m
130,zacefron,2,c
131,tmz,0,m
132,potus,2,p
133,donnabrazile,2,p
134,senschumer,2,p
135,nprpolitics,2,m
136,senwarren,1,p
137,selenagomez,2,c
138,kasimreed,1,p
139,housedemocrats,1,p
140,ddlovato,2,c
141,kanyewest,1,c
142,thr,1,m
143,theellenshow,1,c
144,techcrunch,2,m
145,johnlegend,0,c
146,realsimple,2,m
147,foramerica,0,p
148,rbreich,1,p
149,marieclaire,1,m
150,mileycyrus,1,c
151,repronpaul,0,p
152,mufihannemann,2,p
153,iamqueenlatifah,1,c
154,johncena,2,c
155,entrepreneur,2,m
156,nbaontnt,3,m
157,gameinformer,2,m
158,lindsaylohan,1,c
159,tyrabanks,1,c
160,politico,0,m
161,uninoticias,1,m
162,mindykaling,1,c
163,50cent,1,c
164,kourtneykardash,1,c
165,nytimesarts,2,m
166,dwstweets,0,p
167,brunomars,1,c
168,iggyazalea,2,c
169,conanobrien,0,c
170,gadgetlab,2,m
171,andersoncooper,0,c
172,sentedcruz,1,p
173,britneyspears,0,c
174,enews,1,m
175,bbcbusiness,1,m
176,npr,2,m
177,tyga,0,c
178,realbencarson,0,p
179,billdeblasio,1,p
180,actuallynph,2,c
181,timkaine,2,p
182,washingtonpost,2,m
183,cosmopolitan,0,m
184,khloekardashian,1,c
185,esquirenetwork,1,m
186,wiredscience,2,m
187,nbatv,2,m
188,jessicaalba,3,c
189,jebbush,1,p
190,womenshealthmag,0,m
191,karlrove,2,p
192,robertdowneyjr,0,c
193,johnemichel,0,p
194,realdonaldtrump,2,p
195,governorperry,0,p
196,voterocky2016,2,p
197,billgates,2,c
198,sarahpalinusa,0,p
199,joetrippi,1,p
200,ew,2,m
201,foodandwine,2,m
202,sarahksilverman,1,c
203,buzzfeed,1,m
204,fortunemagazine,2,m
205,evalongoria,1,c
206,xtina,1,c
207,azizansari,3,c
208,camerondallas,1,c
209,iamwill,1,c
210,pharrell,2,c
211,bw,1,m
212,serenawilliams,0,c
213,newtgingrich,2,p
214,govgaryjohnson,0,p
215,cntraveler,3,m
216,bet,3,m
217,history,2,m
218,senmikelee,0,p
219,therock,3,c
220,cnbc,0,m
221,thedemocrats,2,p
222,johnkerry,1,p
223,govwalker,0,p
224,darrellissa,0,p
225,sethmacfarlane,2,c
226,marcanthony,0,c
227,michelebachmann,0,p
228,tmagazine,1,m
229,dccc,2,p
230,goodhealth,1,m
231,travelchannel,2,m
232,ap,1,m
233,shawnmendes,3,c
234,snoopdogg,2,c
235,carmeloanthony,0,c
236,lukebryanonline,2,c
237,cnnmoney,1,m
238,rollingstone,2,m
239,sai,0,m
240,pryan,1,p
241,pink,1,c
242,ashleytisdale,3,c
