,User,Partition,Type
0,algore,1,p
1,ludacris,3,c
2,whowhatwear,3,m
3,billboard,3,m
4,eminem,1,c
5,thehill,3,m
6,mashable,1,m
7,leodicaprio,1,c
8,borisjohnson,3,p
9,ciara,1,c
10,thereval,1,p
11,newsweek,1,m
12,marcorubio,1,p
13,johnkasich,1,p
14,tgowdysc,1,p
15,digg,1,m
16,nikkihaley,1,p
17,freedomworks,3,p
18,sengillibrand,2,p
19,jessicasimpson,3,c
20,kyliejenner,3,c
21,beyonce,3,c
22,kendricklamar,1,c
23,austinmahone,3,c
24,bobbyjindal,1,p
25,salahitareq,1,p
26,nickiminaj,3,c
27,chrisbrown,0,c
28,billclinton,1,p
29,channingtatum,1,c
30,foxsports,0,m
31,travelleisure,1,m
32,corybooker,3,p
33,kobebryant,1,c
34,nasahqphoto,1,p
35,arianagrande,3,c
36,latimes,1,m
37,sensanders,1,p
38,teamcantor,3,p
39,danieltosh,3,c
40,carlyfiorina,1,p
41,jcolenc,3,c
42,fastcompany,1,m
43,gabbygiffords,2,p
44,thehermancain,3,p
45,jimcarrey,0,c
46,katyperry,1,c
47,kdtrey5,1,c
48,pbs,1,m
49,reince,3,p
50,vanityfair,3,m
51,aplusk,1,c
52,wsj,1,m
53,joebiden,1,p
54,lagarde,1,p
55,theatlantic,3,m
56,mcfaul,1,p
57,nickelodeontv,3,m
58,senatorreid,3,p
59,kevinhart4real,1,c
60,victoriajustice,3,c
61,allenwest,1,p
62,discovery,3,m
63,ryanseacrest,3,c
64,speakerryan,1,p
65,charliesheen,1,c
66,parentsmagazine,1,m
67,natgeophotos,3,m
68,jimmykimmel,3,c
69,georgehwbush,3,p
70,people,1,m
71,mariahcarey,2,c
72,ellemagazine,1,m
73,foxnews,3,m
74,kimkardashian,3,c
75,astro_jose,1,p
76,wwd,3,m
77,usher,3,c
78,thenextweb,1,m
79,liltunechi,3,c
80,nbc,3,m
81,gavinnewsom,1,p
82,jlo,1,c
83,iamdiddy,1,c
84,cnni,0,m
85,govmikehuckabee,1,p
86,nancypelosi,1,p
87,espnstatsinfo,3,m
88,newyorker,1,m
89,cbsnews,1,m
90,oprah,3,c
91,scottwalker,2,p
92,harvardbiz,3,m
93,maroon5,1,c
94,randpaul,1,p
95,kendalljenner,3,c
96,louisfarrakhan,3,p
97,ricksantorum,1,p
