,User,Partition,Type
0,algore,0,p
1,jlo,1,c
2,ludacris,1,c
3,chrisbrown,1,c
4,channingtatum,1,c
5,thehill,0,m
6,mashable,1,m
7,leodicaprio,0,c
8,ciara,1,c
9,thereval,0,p
10,newsweek,0,m
11,marcorubio,0,p
12,johnkasich,0,p
13,tgowdysc,0,p
14,digg,1,m
15,freedomworks,0,p
16,sengillibrand,0,p
17,jessicasimpson,1,c
18,kyliejenner,1,c
19,beyonce,1,c
20,kendricklamar,1,c
21,austinmahone,1,c
22,bobbyjindal,0,p
23,nickiminaj,1,c
24,billclinton,0,p
25,foxsports,1,m
26,travelleisure,1,m
27,corybooker,0,p
28,kobebryant,1,c
29,arianagrande,1,c
30,tedcruz,0,p
31,tomhanks,1,c
32,sensanders,0,p
33,teamcantor,0,p
34,govwalker,0,p
35,jcolenc,1,c
36,gabbygiffords,0,p
37,thehermancain,0,p
38,gov,0,m
39,katyperry,1,c
40,kdtrey5,1,c
41,govchristie,1,p
42,reince,0,p
43,victoriajustice,1,c
44,aplusk,1,c
45,wsj,0,m
46,joebiden,0,p
47,nickelodeontv,1,m
48,senatorreid,0,p
49,kevinhart4real,1,c
50,vanityfair,1,m
51,allenwest,0,p
52,ryanseacrest,1,c
53,speakerryan,0,p
54,charliesheen,1,c
55,natgeophotos,1,m
56,lindsaylohan,1,c
57,people,1,m
58,mariahcarey,1,c
59,ellemagazine,1,m
60,foxnews,0,m
61,kimkardashian,1,c
62,astro_jose,1,p
63,wwd,1,m
64,usher,1,c
65,liltunechi,1,c
66,billboard,1,m
67,gavinnewsom,0,p
68,rollingstone,1,m
69,iamdiddy,1,c
70,govmikehuckabee,0,p
71,nancypelosi,0,p
72,abc,0,m
73,cbsnews,0,m
74,oprah,1,c
75,scottwalker,0,p
76,tmz,1,m
77,randpaul,0,p
78,kendalljenner,1,c
79,ricksantorum,0,p
80,stephenathome,1,c
81,ronpaul,0,p
82,xtina,1,c
83,repjohnlewis,0,p
84,taylorswift13,1,c
85,jimcarrey,0,c
86,parishilton,1,c
87,gop,0,p
88,speakerboehner,0,p
89,usatoday,1,m
90,hillaryclinton,0,p
91,slate,0,m
92,business,0,m
93,uninoticias,0,m
94,lmfao,1,c
95,nbcnews,0,m
96,univision,1,m
97,elizabethforma,0,p
98,treysongz,1,c
99,stephencurry30,1,c
100,aliciakeys,1,c
101,jerrybrowngov,0,p
102,kelly_clarkson,1,c
103,kasimreed,0,p
104,blakeshelton,1,c
105,hbo,1,m
106,zacefron,1,c
107,potus,0,p
108,donnabrazile,0,p
109,senschumer,0,p
110,stevemartintogo,1,c
111,senwarren,0,p
112,selenagomez,1,c
113,housedemocrats,0,p
114,ddlovato,1,c
115,kanyewest,1,c
116,thr,1,m
117,theellenshow,1,c
118,johnlegend,1,c
119,foramerica,0,p
120,rbreich,0,p
121,marieclaire,1,m
122,mileycyrus,1,c
123,mufihannemann,0,p
124,iamqueenlatifah,1,c
125,johncena,1,c
126,nbaontnt,1,m
127,jimmykimmel,1,c
128,tyrabanks,1,c
129,politico,0,m
130,mirandacosgrove,1,c
131,mindykaling,1,c
132,50cent,1,c
133,kourtneykardash,1,c
134,dwstweets,0,p
135,brunomars,1,c
136,andersoncooper,1,c
137,conanobrien,1,c
138,gadgetlab,1,m
139,iggyazalea,1,c
140,sentedcruz,0,p
141,britneyspears,1,c
142,enews,1,m
143,npr,0,m
144,jtimberlake,1,c
145,actuallynph,1,c
146,darrellissa,0,p
147,ericcantor,0,p
148,cosmopolitan,1,m
149,khloekardashian,1,c
150,wiredscience,1,m
151,nbatv,1,m
152,dccc,0,p
153,jessicaalba,1,c
154,jebbush,0,p
155,womenshealthmag,1,m
156,karlrove,0,p
157,robertdowneyjr,1,c
158,realdonaldtrump,0,p
159,governorperry,0,p
160,voterocky2016,0,p
161,billgates,1,c
162,sarahpalinusa,0,p
163,whowhatwear,1,m
164,joetrippi,0,p
165,pharrell,1,c
166,ap,0,m
167,sarahksilverman,1,c
168,buzzfeed,1,m
169,fortunemagazine,1,m
170,evalongoria,1,c
171,tyga,1,c
172,azizansari,1,c
173,snoopdogg,1,c
174,iamwill,1,c
175,younghollywood,1,m
176,serenawilliams,1,c
177,newtgingrich,0,p
178,govgaryjohnson,0,p
179,realbencarson,0,p
180,bet,0,m
181,senmikelee,0,p
182,therock,1,c
183,cnbc,1,m
184,thedemocrats,0,p
185,johnkerry,0,p
186,sethmacfarlane,0,c
187,michelebachmann,0,p
188,washingtonpost,0,m
189,goodhealth,1,m
190,nbc,1,m
191,shawnmendes,1,c
192,camerondallas,1,c
193,carmeloanthony,1,c
194,lukebryanonline,1,c
195,nikkihaley,0,p
196,natgeotravel,1,m
197,voguemagazine,1,m
198,pryan,0,p
199,pink,1,c
200,ashleytisdale,1,c
201,joejonas,1,c
202,marcanthony,1,c
203,teenvogue,1,m
204,menshealthmag,1,m
205,alfranken,0,p
206,johnkingated,0,p
207,businessinsider,1,m
208,mittromney,0,p
209,jimdemint,0,p
210,comedycentral,1,m
211,bigsean,1,c
212,latimes,1,m
213,nytimes,0,m
214,krisjenner,1,c
215,jasoninthehouse,0,p
216,kingjames,1,c
217,ladygaga,1,c
218,parenting,0,m
219,ambassadorrice,0,p
220,shaq,1,c
221,wired,0,m
222,newyorker,1,m
223,wizkhalifa,1,c
224,senjohnmccain,0,p
225,timkaine,0,p
226,ericgarcetti,0,p
227,barackobama,0,p
228,davidaxelrod,0,p
229,condoleezzarice,0,p
230,wendydavis,0,p
231,nickjonas,1,c
232,jimmyfallon,1,c
233,cntraveler,1,m
234,justinbieber,1,c
235,sciencechannel,1,m
236,carlyfiorina,0,p
237,berniesanders,0,p
238,pitbull,1,c
239,tppatriots,0,p
240,marvel,1,m
241,chrischristie,0,p
242,ew,1,m
