,User,Partition,Type,Affiliation,Description,Followers
0,algore,2,p,Democrat,"Former Vice President, Senator from Tennessee", 2 987 044 
1,jlo,0,c,,music,37 532 371
2,ludacris,0,c,,music,11 646 194
3,chrisbrown,0,c,,music,17 678 737
4,channingtatum,0,c,,actor,8 580 999
5,thehill,0,m,,"news, politics",1 403 577
6,mashable,2,m,,"news, digital/entertainment",7 822 855
7,leodicaprio,0,c,,actor,16 187 169
8,ciara,1,c,,music,7 316 297
9,thereval,1,p,Democrat,"Civil rights activist, White House advisor; former presidential candidate", 505 722 
10,newsweek,1,m,,news,3 021 471
11,marcorubio,0,p,Republican,"Senator from Florida, Presidential Candidate", 1 614 541 
12,johnkasich,0,p,Republican,"Governor of Ohio, presidential candidate", 445 162 
13,tgowdysc,2,p,Republican/Tea Party,Representative for South Carolina, 329 498 
14,digg,0,m,,"news, aggregator",1 530 524
15,freedomworks,0,p,Conservative/Libertarian,Advocacy group associated with Tea Party, 258 619 
16,sengillibrand,0,p,Democrat,Senator from New York, 193 501 
17,jessicasimpson,0,c,,"music, actress, business",7 260 030
18,kyliejenner,0,c,,reality tv,18 244 423
19,beyonce,1,c,,music,14 604 498
20,kendricklamar,0,c,,music,7 197 693
21,austinmahone,1,c,,music,9 622 038
22,bobbyjindal,0,p,Republican,"former Governor of Louisiana, presidential candidate", 243 624 
23,nickiminaj,0,c,,music,20 642 084
24,billclinton,0,p,Democrat,Former President, 6 074 980 
25,foxsports,0,m,,sports,1 721 963
26,travelleisure,1,m,,life,2 659 608
27,corybooker,0,p,Democrat,Senator from New Jersey, 1 811 500 
28,kobebryant,1,c,,athlete,10 767 414
29,arianagrande,0,c,,music,42 217 817
30,tedcruz,1,p,Republican,"Senator from Texas, Presidential Candidate", 1 644 787 
31,tomhanks,1,c,,actor,12 210 302
32,sensanders,0,p,Democrat,Presidential Candidate, 2 611 116 
33,teamcantor,0,p,Republican,Former representative from Virginia, 152 142 
34,govwalker,0,p,Republican,Governor of Wisconsin, 161 852 
35,jcolenc,2,c,,music,8 778 803
36,gabbygiffords,0,p,Democrat,Former representative from Arizona, 198 236 
37,thehermancain,0,p,Republican/Tea Party,Presidential Candidate, 391 180 
38,gov,0,m,,twitter,2 274 522
39,katyperry,1,c,,music,93 369 751
40,kdtrey5,0,c,,athlete,15 060 923
41,govchristie,0,p,Republican,Governor of New Jersey, 755 308 
42,reince,0,p,Republican,"Chairman of RNC, appointed chief of staff by Donald Trump", 492 052 
43,victoriajustice,1,c,,actress,9 457 260
44,aplusk,0,c,,actor,17 548 621
45,wsj,2,m,,"news, business",11 961 330
46,joebiden,0,p,Democrat,"VP, former Senator from Delaware", 1 252 999 
47,nickelodeontv,0,m,,tv,3 978 544
48,senatorreid,0,p,Democrat,"Senator from Nevada, minority leader", 363 022 
49,kevinhart4real,0,c,,actor,30 841 367
50,vanityfair,0,m,,"news, entertainment",4 192 283
51,allenwest,0,p,Republican,former representative from Florida, 556 567 
52,ryanseacrest,2,c,,tv host,14 961 338
53,speakerryan,0,p,Republican,"House Speaker, Representative from Wisconsin", 867 047 
54,charliesheen,0,c,,actor,11 668 919
55,natgeophotos,0,m,,life,2 391 940
56,lindsaylohan,0,c,,actress,9 312 088
57,people,0,m,,"news, entertainment",7 374 868
58,mariahcarey,0,c,,music,16 689 205
59,ellemagazine,0,m,,"news, fashion",5 992 669
60,foxnews,0,m,,news,11 238 760
61,kimkardashian,0,c,,reality tv,48 376 187
62,astro_jose,0,p,Democrat,"Former astronaut, candidate for California representative", 411 424 
63,wwd,0,m,,"news, fashion",2 946 016
64,usher,0,c,,music,11 402 470
65,liltunechi,1,c,,music,28 130 664
66,billboard,0,m,,"news, entertainment",4 128 761
67,gavinnewsom,0,p,Democrat,"Lieutenant Governor of California, former Mayor of SF", 1 243 200 
68,rollingstone,0,m,,"news, entertainment",5 279 722
69,iamdiddy,1,c,,music,11 719 947
70,govmikehuckabee,2,p,Republican,"former governor of Arkansas, former presidential candidate", 498 556 
71,nancypelosi,0,p,Democrat,"House minority leader, Representative from California", 846 510 
72,abc,1,m,,news,7 718 914
73,cbsnews,0,m,,news,4 870 269
74,oprah,1,c,,tv host,34 336 209
75,scottwalker,0,p,Republican,Governor of Wisconsin, 236 624 
76,tmz,0,m,,"news, entertainment",4 245 203
77,randpaul,0,p,Republican,Senator from Kentucky, 907 652 
78,kendalljenner,1,c,,reality tv,19 978 386
79,ricksantorum,0,p,Republican,"former Senator from Pennsylvania, presidential candidate", 273 803 
80,stephenathome,0,c,,tv host,11 965 120
81,ronpaul,0,p,"Libertarian, former Republican","Former Representative from Texas, former presidential candidate", 596 749 
82,xtina,0,c,,music,16 138 736
83,repjohnlewis,2,p,Democrat,Representative from Georgia, 199 634 
84,taylorswift13,0,c,,music,81 148 129
85,jimcarrey,1,c,,actor,15 336 262
86,parishilton,2,c,,"heiress, reality tv, actress, singer, model, business",13 855 030
87,gop,0,p,Republican,Group, 868 567 
88,speakerboehner,0,p,Republican,"Former House Speaker, Representative from Ohio", 1 294 929 
89,usatoday,1,m,,news,2 696 144
90,hillaryclinton,0,p,Democrat,Presidential Candidate, 9 536 475 
91,slate,0,m,,news,1 611 624
92,business,0,m,,"news, business",3 438 014
93,uninoticias,1,m,,news,1 467 289
94,lmfao,0,c,,music,8 273 806
95,nbcnews,0,m,,news,3 876 084
96,univision,1,m,,news,2 449 479
97,elizabethforma,0,p,Democrat,Senator from Massachusetts, 761 098 
98,treysongz,1,c,,music,10 341 547
99,stephencurry30,0,c,,athlete,7 191 327
100,aliciakeys,0,c,,music,24 030 712
101,jerrybrowngov,0,p,Democrat,Governor of California, 1 059 706 
102,kelly_clarkson,0,c,,music,11 188 966
103,kasimreed,1,p,Democrat,Mayor of Atlanta, 203 014 
104,blakeshelton,0,c,,music,18 108 880
105,hbo,0,m,,tv,1 572 360
106,zacefron,0,c,,actor,12 928 200
107,potus,1,p,None,President, 10 681 955 
108,donnabrazile,1,p,Democrat,"Political analyst, interim chairperson at DNC", 566 124 
109,senschumer,2,p,Democrat,Senator from New York, 155 727 
110,stevemartintogo,2,c,,"actor, comedian, music",7 832 018
111,senwarren,0,p,Democrat,Senator from Massachusetts, 965 964 
112,selenagomez,2,c,,music,45 945 224
113,housedemocrats,0,p,Democrat,Group, 359 247 
114,ddlovato,0,c,,music,38 874 223
115,kanyewest,0,c,,music,26 246 721
116,thr,0,m,,"news, entertainment",2 241 497
117,theellenshow,1,c,,tv host,62 588 079
118,johnlegend,1,c,,music,8 258 195
119,foramerica,0,p,Republican,, 142 806 
120,rbreich,0,p,Democrat,former Secretary of Labor, 300 649 
121,marieclaire,0,m,,"news, fashion",2 176 416
122,mileycyrus,0,c,,music,30 804 092
123,mufihannemann,2,p,Democrat,Former mayor of Honollulu, 487 094 
124,iamqueenlatifah,0,c,,"music, actress ",7 210 828
125,johncena,0,c,,"athlete, actor, music",8 756 823
126,nbaontnt,0,m,,sports,1 693 067
127,jimmykimmel,0,c,,tv host,8 007 499
128,tyrabanks,0,c,,"model, tv, business",13 515 832
129,politico,2,m,,"news, politics",2 075 384
130,mirandacosgrove,0,c,,"actress, music",7 533 379
131,mindykaling,0,c,,"actress, comedian",7 955 002
132,50cent,0,c,,music,8 723 410
133,kourtneykardash,0,c,,reality tv,21 163 315
134,dwstweets,1,p,Democrat,"Representative for Florida, former DNC chair", 356 761 
135,brunomars,0,c,,music,26 460 279
136,andersoncooper,0,c,,tv host,8 649 168
137,conanobrien,0,c,,tv host,21 989 171
138,gadgetlab,1,m,,"news, tech",1 940 731
139,iggyazalea,0,c,,music,7 117 671
140,sentedcruz,2,p,Republican,"Senator from Texas, Presidential Candidate", 803 738 
141,britneyspears,0,c,,music,47 938 333
142,enews,0,m,,"news, entertainment",10 328 085
143,npr,1,m,,news,6 245 878
144,jtimberlake,1,c,,music,56 753 923
145,actuallynph,0,c,,actor,25 593 162
146,darrellissa,0,p,Republican,Representative from California, 227 530 
147,ericcantor,2,p,Republican,Former Representative from Virginia, 260 859 
148,cosmopolitan,2,m,,life,1 514 205
149,khloekardashian,0,c,,reality tv,22 208 174
150,wiredscience,2,m,,"news, science",1 955 397
151,nbatv,0,m,,sports,2 707 785
152,dccc,0,p,Democrat,Campaign arm of democrats in the House, 194 212 
153,jessicaalba,0,c,,"actress, model, business",9 371 980
154,jebbush,1,p,Republican,"Governor of Florida, presidential candidate", 762 211 
155,womenshealthmag,0,m,,life,4 232 499
156,karlrove,0,p,Republican,"political consultant, policy advisor; deputy chief of staff under George W Bush", 654 349 
157,robertdowneyjr,0,c,,actor,7 554 969
158,realdonaldtrump,0,p,Republican,Presidential Candidate, 12 227 110 
159,governorperry,0,p,"Republican, Democrat before 1989","Governor of Texas, presidential candidate", 344 251 
160,voterocky2016,0,p,Democrat,Presidential candidate, 233 194 
161,billgates,0,c,,business,31 208 894
162,sarahpalinusa,0,p,Republican,"Former governor of Alaska, VP Candidate", 1 290 672 
163,whowhatwear,1,m,,"news, fashion",2 172 499
164,joetrippi,0,p,Democrat,Campaign worker/consultant; Fox News contributor, 960 136 
165,pharrell,0,c,,music,9 349 444
166,ap,0,m,,news,8 736 830
167,sarahksilverman,0,c,,"actress, comedy",8 898 502
168,buzzfeed,0,m,,"news, entertainment",3 955 754
169,fortunemagazine,0,m,,"news, business",2 144 137
170,evalongoria,0,c,,actress,7 420 901
171,tyga,0,c,,music,7065252
172,azizansari,0,c,,actor,10 829 752
173,snoopdogg,0,c,,music,14 636 989
174,iamwill,0,c,,music,13 622 394
175,younghollywood,2,m,,"news, entertainment",3 009 372
176,serenawilliams,1,c,,athlete,7 097 604
177,newtgingrich,0,p,Republican,"Former House Speaker, Representative from Georgia, Presidential Candidate", 1 673 001 
178,govgaryjohnson,0,p,Republican,"Former governor of new mexico, presidential candidate", 368 064 
179,realbencarson,0,p,Republican,Presidential Candidate, 2 168 028 
180,bet,0,m,,"news, entertainment",1 905 469
181,senmikelee,0,p,Republican,Senator from Utah, 244 977 
182,therock,1,c,,actor,10 520 023
183,cnbc,1,m,,news,2 435 953
184,thedemocrats,1,p,Democrat,Group, 679 121 
185,johnkerry,0,p,Democrat,Secretary of State, 1 960 269 
186,sethmacfarlane,2,c,,actor,10 946 541
187,michelebachmann,0,p,Republican,"Former Representative from Minnesota, presidential candidate", 262 590 
188,washingtonpost,0,m,,news,7 589 534
189,goodhealth,0,m,,life,3 197 433
190,nbc,0,m,,news,1 433 728
191,shawnmendes,0,c,,music,7 618 905
192,camerondallas,0,c,,"Vine, actor, music",9 083 089
193,carmeloanthony,0,c,,athlete,8 370 386
194,lukebryanonline,1,c,,music,7 680 293
195,nikkihaley,0,p,Republican,Governor of South Carolina, 155 717 
196,natgeotravel,0,m,,life,3 017 833
197,voguemagazine,0,m,,"news, fashion",11 792 438
198,pryan,0,p,Republican,"House Speaker, Representative from Wisconsin", 751 219 
199,pink,0,c,,music,28 246 806
200,ashleytisdale,0,c,,actress,13 252 356
201,joejonas,0,c,,music,8 319 951
202,marcanthony,0,c,,music,8 905 101
203,teenvogue,0,m,,"news, fashion",2 656 688
204,menshealthmag,2,m,,life,3 519 089
205,alfranken,0,p,Democrat,Senator from Minnesota, 266 209 
206,johnkingated,0,p,Democrat,Secretary of Education, 262 504 
207,businessinsider,0,m,,"news, business",1 653 786
208,mittromney,1,p,Republican,"Former Governor of Massachusetts, Presidential Candidate", 1 804 714 
209,jimdemint,2,p,Republican,"President of the Heritage Foundation, former Senator from South Carolina, leading figure in Tea Party", 226 159 
210,comedycentral,0,m,,tv,1 461 235
211,bigsean,0,c,,music,9 244 680
212,latimes,2,m,,news,2 232 928
213,nytimes,0,m,,news,30 936 311
214,krisjenner,2,c,,reality tv,7 696 281
215,jasoninthehouse,0,p,Republican,"Representative from Utah, former Democrat", 149 903 
216,kingjames,0,c,,athlete,33 244 051
217,ladygaga,0,c,,music,63 997 129
218,parenting,0,m,,life,1 587 085
219,ambassadorrice,0,p,Democrat,"NSA Advisor, former ambassador to UN", 563 166 
