,User,Partition,Type
0,algore,0,p
1,jlo,2,c
2,ludacris,2,c
3,chrisbrown,2,c
4,channingtatum,2,c
5,thehill,3,m
6,mashable,2,m
7,leodicaprio,3,c
8,ciara,2,c
9,thereval,1,p
10,newsweek,1,m
11,marcorubio,3,p
12,johnkasich,1,p
13,tgowdysc,0,p
14,digg,0,m
15,freedomworks,1,p
16,sengillibrand,3,p
17,jessicasimpson,0,c
18,kyliejenner,2,c
19,beyonce,2,c
20,kendricklamar,0,c
21,austinmahone,2,c
22,bobbyjindal,1,p
23,nickiminaj,2,c
24,billclinton,1,p
25,foxsports,2,m
26,travelleisure,0,m
27,corybooker,3,p
28,kobebryant,2,c
29,arianagrande,2,c
30,tedcruz,3,p
31,tomhanks,0,c
32,sensanders,3,p
33,teamcantor,1,p
34,govwalker,3,p
35,jcolenc,0,c
36,gabbygiffords,0,p
37,thehermancain,0,p
38,gov,1,m
39,katyperry,2,c
40,kdtrey5,0,c
41,govchristie,2,p
42,reince,1,p
43,victoriajustice,0,c
44,aplusk,2,c
45,wsj,3,m
46,joebiden,3,p
47,nickelodeontv,2,m
48,senatorreid,0,p
49,kevinhart4real,2,c
50,vanityfair,2,m
51,allenwest,0,p
52,ryanseacrest,2,c
53,speakerryan,3,p
54,charliesheen,2,c
55,natgeophotos,0,m
56,lindsaylohan,2,c
57,people,2,m
58,mariahcarey,2,c
59,ellemagazine,0,m
60,foxnews,0,m
61,kimkardashian,2,c
62,astro_jose,0,p
63,wwd,0,m
64,usher,2,c
65,liltunechi,0,c
66,billboard,2,m
67,gavinnewsom,1,p
68,rollingstone,2,m
69,iamdiddy,2,c
70,govmikehuckabee,1,p
71,nancypelosi,3,p
72,abc,0,m
73,cbsnews,3,m
74,oprah,2,c
75,scottwalker,1,p
76,tmz,0,m
77,randpaul,3,p
78,kendalljenner,2,c
79,ricksantorum,1,p
80,stephenathome,2,c
81,ronpaul,1,p
82,xtina,2,c
83,repjohnlewis,0,p
84,taylorswift13,2,c
85,jimcarrey,1,c
86,parishilton,2,c
87,gop,1,p
88,speakerboehner,0,p
89,usatoday,0,m
90,hillaryclinton,3,p
91,slate,3,m
92,business,0,m
93,uninoticias,0,m
94,lmfao,0,c
95,nbcnews,0,m
96,univision,0,m
97,elizabethforma,1,p
98,treysongz,2,c
99,stephencurry30,2,c
100,aliciakeys,2,c
101,jerrybrowngov,0,p
102,kelly_clarkson,2,c
103,kasimreed,0,p
104,blakeshelton,2,c
105,hbo,0,m
106,zacefron,2,c
107,potus,3,p
108,donnabrazile,1,p
109,senschumer,3,p
110,stevemartintogo,0,c
111,senwarren,0,p
112,selenagomez,2,c
113,housedemocrats,0,p
114,ddlovato,2,c
115,kanyewest,2,c
116,thr,2,m
117,theellenshow,2,c
118,johnlegend,2,c
119,foramerica,1,p
120,rbreich,1,p
121,marieclaire,0,m
122,mileycyrus,2,c
123,mufihannemann,0,p
124,iamqueenlatifah,2,c
125,johncena,2,c
126,nbaontnt,2,m
127,jimmykimmel,2,c
128,tyrabanks,2,c
129,politico,1,m
130,mirandacosgrove,2,c
131,mindykaling,2,c
132,50cent,2,c
133,kourtneykardash,2,c
134,dwstweets,1,p
135,brunomars,2,c
136,andersoncooper,2,c
137,conanobrien,1,c
138,gadgetlab,0,m
139,iggyazalea,2,c
140,sentedcruz,0,p
141,britneyspears,2,c
142,enews,2,m
143,npr,1,m
144,jtimberlake,2,c
145,actuallynph,2,c
146,darrellissa,0,p
147,ericcantor,0,p
148,cosmopolitan,2,m
149,khloekardashian,2,c
150,wiredscience,0,m
151,nbatv,2,m
152,dccc,0,p
153,jessicaalba,2,c
154,jebbush,1,p
155,womenshealthmag,2,m
156,karlrove,0,p
157,robertdowneyjr,2,c
158,realdonaldtrump,3,p
159,governorperry,3,p
160,voterocky2016,0,p
161,billgates,2,c
