username,Name,num_following,num_followers
katyperry,KATY PERRY ,172,93 369 751
justinbieber,Justin Bieber ,286 768,88 699 317
taylorswift13,Taylor Swift ,245,81 148 129
ladygaga,JOANNE ,130 511,63 997 129
TheEllenShow,Ellen DeGeneres ,36 319,62 588 079
jtimberlake,Justin Timberlake ,211,56 753 923
KimKardashian,Kim Kardashian West ,121,48 376 187
britneyspears,Britney Spears ,393 814,47 938 333
selenagomez,Selena Gomez ,1 281,45 945 224
jimmyfallon,jimmy fallon ,7 219,42 982 092
ArianaGrande,Ariana Grande ,66 714,42 217 817
ddlovato,Demi Lovato ,454,38 874 223
JLo,Jennifer Lopez ,1 692,37 532 371
Oprah,Oprah Winfrey ,267,34 336 209
KingJames,LeBron James ,165,33 244 051
BillGates,Bill Gates ,169,31 208 894
KevinHart4real,Kevin Hart ,544,30 841 367
MileyCyrus,Miley Ray Cyrus ,369,30 804 092
Pink,P!nk ,407,28 246 806
LilTunechi,Lil Wayne WEEZY F ,43,28 130 664
wizkhalifa,Wiz Khalifa ,780,27 804 845
BrunoMars,Bruno Mars ,114,26 460 279
kanyewest,KANYE WEST ,1,26 246 721
ActuallyNPH,Neil Patrick Harris ,79,25 593 162
danieltosh,daniel tosh ,129,25 102 683
aliciakeys,Alicia Keys ,593,24 030 712
pitbull,Pitbull ,2 661,22 767 655
khloekardashian,Khloé ,333,22 208 174
ConanOBrien,Conan O'Brien ,1,21 989 171
kourtneykardash,Kourtney Kardashian ,77,21 163 315
Eminem,Marshall Mathers ,0,20 781 429
NICKIMINAJ,NICKI MINAJ ,3 695,20 642 084
KendallJenner,Kendall ,143,19 978 386
KylieJenner,Kylie Jenner ,1 182,18 244 423
blakeshelton,Blake Shelton ,725,18 108 880
chrisbrown,Chris Brown ,1,17 678 737
aplusk,ashton kutcher ,752,17 548 621
MariahCarey,Mariah Carey ,87,16 689 205
LeoDiCaprio,Leonardo DiCaprio ,143,16 187 169
xtina,Christina Aguilera ,23,16 138 736
JimCarrey,Jim Carrey ,1,15 336 262
KDTrey5,Kevin Durant ,1 462,15 060 923
RyanSeacrest,Ryan Seacrest ,649,14 961 338
SnoopDogg,Snoop Dogg ,2 702,14 636 989
Beyonce,BEYONCÉ ,10,14 604 498
ParisHilton,Paris Hilton ,7 073,13 855 030
iamwill,i.am+ ,1 395,13 622 394
tyrabanks,Tyra Banks ,1 169,13 515 832
maroon5,Maroon 5 ,414,13 298 757
ashleytisdale,Ashley Tisdale ,198,13 252 356
ZacEfron,Zac Efron ,74,12 928 200
SHAQ,SHAQ ,677,12 702 287
tomhanks,Tom Hanks ,24,12 210 302
StephenAtHome,Stephen Colbert ,22,11 965 120
iamdiddy,Sean Diddy Combs ,1 812,11 719 947
charliesheen,Charlie Sheen ,153,11 668 919
Ludacris,Ludacris ,324,11 646 194
Usher,Usher Raymond IV ,513,11 402 470
kelly_clarkson,Kelly Clarkson ,64,11 188 966
SethMacFarlane,Seth MacFarlane ,385,10 946 541
nickjonas,Nick Jonas ,680,10 875 012
azizansari,Aziz Ansari ,0,10 829 752
kobebryant,Kobe Bryant ,240,10 767 414
TheRock,Dwayne Johnson ,74,10 520 023
TreySongz,Trey Songz ,3 638,10 341 547
AustinMahone,Austin Mahone ,89 739,9 622 038
VictoriaJustice,Victoria Justice ,1 981,9 457 260
jessicaalba,Jessica Alba ,1 320,9 371 980
Pharrell,Pharrell Williams ,1 012,9 349 444
lindsaylohan,Lindsay Lohan ,530,9 312 088
BigSean,Sean Don ,2 140,9 244 680
camerondallas,Cameron Dallas ,19 565,9 083 089
MarcAnthony,Marc Anthony ,737,8 905 101
SarahKSilverman,Sarah Silverman ,712,8 898 502
JColeNC,J. Cole ,406,8 778 803
JohnCena,John Cena ,2 333,8 756 823
50cent,50cent ,18,8 723 410
andersoncooper,Anderson Cooper ,249,8 649 168
channingtatum,Channing Tatum ,297,8 580 999
carmeloanthony,Carmelo Anthony ,302,8 370 386
joejonas,J O E J O N A S ,1 119,8 319 951
LMFAO,LMFAO ,1 536,8 273 806
johnlegend,John Legend ,745,8 258 195
jimmykimmel,Jimmy Kimmel ,486,8 007 499
mindykaling,Mindy Kaling ,835,7 955 002
SteveMartinToGo,Steve Martin ,189,7 832 018
KrisJenner,Kris Jenner ,269,7 696 281
LukeBryanOnline,Luke Bryan ,11 761,7 680 293
ShawnMendes,Shawn Mendes ,54 771,7 618 905
RobertDowneyJr,Robert Downey Jr ,62,7 554 969
MirandaCosgrove,Miranda Cosgrove ,13 700,7 533 379
EvaLongoria,Eva Longoria Baston ,805,7 420 901
ciara,Ciara ,50,7 316 297
JessicaSimpson,Jessica Simpson ,162,7 260 030
IAMQUEENLATIFAH,Queen Latifah ,653,7 210 828
kendricklamar,Kendrick Lamar ,490,7 197 693
StephenCurry30,Stephen Curry ,629,7 191 327
IGGYAZALEA,IGGY AZALEA ,3 612,7 117 671
serenawilliams,Serena Williams ,337,7 097 604
Tyga,T-Raww,4477,7065252
