username,Name,num_following,num_followers,description
katyperry,KATY PERRY ,172,93 369 751,music
justinbieber,Justin Bieber ,286 768,88 699 317,music
taylorswift13,Taylor Swift ,245,81 148 129,music
ladygaga,JOANNE ,130 511,63 997 129,music
TheEllenShow,Ellen DeGeneres ,36 319,62 588 079,tv host
jtimberlake,Justin Timberlake ,211,56 753 923,music
KimKardashian,Kim Kardashian West ,121,48 376 187,reality tv
britneyspears,Britney Spears ,393 814,47 938 333,music
selenagomez,Selena Gomez ,1 281,45 945 224,music
jimmyfallon,jimmy fallon ,7 219,42 982 092,tv host
ArianaGrande,Ariana Grande ,66 714,42 217 817,music
ddlovato,Demi Lovato ,454,38 874 223,music
JLo,Jennifer Lopez ,1 692,37 532 371,music
Oprah,Oprah Winfrey ,267,34 336 209,tv host
KingJames,LeBron James ,165,33 244 051,athlete
BillGates,Bill Gates ,169,31 208 894,business
KevinHart4real,Kevin Hart ,544,30 841 367,actor
MileyCyrus,Miley Ray Cyrus ,369,30 804 092,music
Pink,P!nk ,407,28 246 806,music
LilTunechi,Lil Wayne WEEZY F ,43,28 130 664,music
wizkhalifa,Wiz Khalifa ,780,27 804 845,music
BrunoMars,Bruno Mars ,114,26 460 279,music
kanyewest,KANYE WEST ,1,26 246 721,music
ActuallyNPH,Neil Patrick Harris ,79,25 593 162,actor
danieltosh,daniel tosh ,129,25 102 683,tv host
aliciakeys,Alicia Keys ,593,24 030 712,music
pitbull,Pitbull ,2 661,22 767 655,music
khloekardashian,Khloé ,333,22 208 174,reality tv
ConanOBrien,Conan O'Brien ,1,21 989 171,tv host
kourtneykardash,Kourtney Kardashian ,77,21 163 315,reality tv
Eminem,Marshall Mathers ,0,20 781 429,music
NICKIMINAJ,NICKI MINAJ ,3 695,20 642 084,music
KendallJenner,Kendall ,143,19 978 386,reality tv
KylieJenner,Kylie Jenner ,1 182,18 244 423,reality tv
blakeshelton,Blake Shelton ,725,18 108 880,music
chrisbrown,Chris Brown ,1,17 678 737,music
aplusk,ashton kutcher ,752,17 548 621,actor
MariahCarey,Mariah Carey ,87,16 689 205,music
LeoDiCaprio,Leonardo DiCaprio ,143,16 187 169,actor
xtina,Christina Aguilera ,23,16 138 736,music
JimCarrey,Jim Carrey ,1,15 336 262,actor
KDTrey5,Kevin Durant ,1 462,15 060 923,athlete
RyanSeacrest,Ryan Seacrest ,649,14 961 338,tv host
SnoopDogg,Snoop Dogg ,2 702,14 636 989,music
Beyonce,BEYONCÉ ,10,14 604 498,music
ParisHilton,Paris Hilton ,7 073,13 855 030,"heiress, reality tv, actress, singer, model, business"
iamwill,i.am+ ,1 395,13 622 394,music
tyrabanks,Tyra Banks ,1 169,13 515 832,"model, tv, business"
maroon5,Maroon 5 ,414,13 298 757,music
ashleytisdale,Ashley Tisdale ,198,13 252 356,actress
ZacEfron,Zac Efron ,74,12 928 200,actor
SHAQ,SHAQ ,677,12 702 287,athlete
tomhanks,Tom Hanks ,24,12 210 302,actor
StephenAtHome,Stephen Colbert ,22,11 965 120,tv host
iamdiddy,Sean Diddy Combs ,1 812,11 719 947,music
charliesheen,Charlie Sheen ,153,11 668 919,actor
Ludacris,Ludacris ,324,11 646 194,music
Usher,Usher Raymond IV ,513,11 402 470,music
kelly_clarkson,Kelly Clarkson ,64,11 188 966,music
SethMacFarlane,Seth MacFarlane ,385,10 946 541,actor
nickjonas,Nick Jonas ,680,10 875 012,music
azizansari,Aziz Ansari ,0,10 829 752,actor
kobebryant,Kobe Bryant ,240,10 767 414,athlete
TheRock,Dwayne Johnson ,74,10 520 023,actor
TreySongz,Trey Songz ,3 638,10 341 547,music
AustinMahone,Austin Mahone ,89 739,9 622 038,music
VictoriaJustice,Victoria Justice ,1 981,9 457 260,actress
jessicaalba,Jessica Alba ,1 320,9 371 980,"actress, model, business"
Pharrell,Pharrell Williams ,1 012,9 349 444,music
lindsaylohan,Lindsay Lohan ,530,9 312 088,actress
BigSean,Sean Don ,2 140,9 244 680,music
camerondallas,Cameron Dallas ,19 565,9 083 089,"Vine, actor, music"
MarcAnthony,Marc Anthony ,737,8 905 101,music
SarahKSilverman,Sarah Silverman ,712,8 898 502,"actress, comedy"
JColeNC,J. Cole ,406,8 778 803,music
JohnCena,John Cena ,2 333,8 756 823,"athlete, actor, music"
50cent,50cent ,18,8 723 410,music
andersoncooper,Anderson Cooper ,249,8 649 168,tv host
channingtatum,Channing Tatum ,297,8 580 999,actor
carmeloanthony,Carmelo Anthony ,302,8 370 386,athlete
joejonas,J O E J O N A S ,1 119,8 319 951,music
LMFAO,LMFAO ,1 536,8 273 806,music
johnlegend,John Legend ,745,8 258 195,music
jimmykimmel,Jimmy Kimmel ,486,8 007 499,tv host
mindykaling,Mindy Kaling ,835,7 955 002,"actress, comedian"
SteveMartinToGo,Steve Martin ,189,7 832 018,"actor, comedian, music"
KrisJenner,Kris Jenner ,269,7 696 281,reality tv
LukeBryanOnline,Luke Bryan ,11 761,7 680 293,music
ShawnMendes,Shawn Mendes ,54 771,7 618 905,music
RobertDowneyJr,Robert Downey Jr ,62,7 554 969,actor
MirandaCosgrove,Miranda Cosgrove ,13 700,7 533 379,"actress, music"
EvaLongoria,Eva Longoria Baston ,805,7 420 901,actress
ciara,Ciara ,50,7 316 297,music
JessicaSimpson,Jessica Simpson ,162,7 260 030,"music, actress, business"
IAMQUEENLATIFAH,Queen Latifah ,653,7 210 828,"music, actress "
kendricklamar,Kendrick Lamar ,490,7 197 693,music
StephenCurry30,Stephen Curry ,629,7 191 327,athlete
IGGYAZALEA,IGGY AZALEA ,3 612,7 117 671,music
serenawilliams,Serena Williams ,337,7 097 604,athlete
Tyga,T-Raww,4477,7065252,music
