Cluster Method,Cluster Num,Conductance,Clustering Coefficient,Percent Celebrities,Percent Media,Percent Politicians,Number Celebrities,Number Media,Number Politicians
spectral_mentions_2clusters_undir_weight,0,0.5315944559642038,0.0022328839640781994,0.28776978417266186,0.3381294964028777,0.37410071942446044,40,47,52
spectral_mentions_2clusters_undir_weight,1,0.5883444286805631,0.0027635479420368534,0.375,0.325,0.3,60,52,48
spectral_mentions_2clusters_undir_unweight,0,0.43444525269320033,0.0025347029052095243,0.3624161073825503,0.3288590604026846,0.3087248322147651,54,49,46
spectral_mentions_2clusters_undir_unweight,1,0.5772974470885726,0.0009637405447020135,0.30666666666666664,0.3333333333333333,0.36,46,50,54
spectral_mentions_2clusters_sum_weighted,0,0.14990182751850173,0.0024125980288501893,0.515625,0.3385416666666667,0.14583333333333334,99,65,28
spectral_mentions_2clusters_sum_weighted,1,0.19419272013291045,0.001887352851664607,0.009345794392523364,0.3177570093457944,0.6728971962616822,1,34,72
spectral_mentions_2clusters_sum_unweighted,0,0.12192464820699046,0.0013360029092232529,0.02040816326530612,0.3129251700680272,0.6666666666666666,3,46,98
spectral_mentions_2clusters_sum_unweighted,1,0.06736268724466636,0.0025962636404397005,0.6381578947368421,0.34868421052631576,0.013157894736842105,97,53,2
spectral_mentions_2clusters_prod_weight,0,0.266993301910196,0.0011112931918906708,0.13829787234042554,0.35106382978723405,0.5106382978723404,26,66,96
spectral_mentions_2clusters_prod_weight,1,0.25086827090052094,0.0031832588015635985,0.6666666666666666,0.2972972972972973,0.036036036036036036,74,33,4
spectral_mentions_2clusters_prod_unweighted,0,0.14742600645251788,0.0012328729395683846,0.06172839506172839,0.3395061728395062,0.5987654320987654,10,55,97
spectral_mentions_2clusters_prod_unweighted,1,0.09370178145602469,0.0027599441107429555,0.656934306569343,0.32116788321167883,0.021897810218978103,90,44,3
spectral_mentions_2clusters_bib_weight,0,0.21950635034747185,0.0010827509454886686,0.11794871794871795,0.37435897435897436,0.5076923076923077,23,73,99
spectral_mentions_2clusters_bib_weight,1,0.21429427270548765,0.0033630988649112742,0.7403846153846154,0.25,0.009615384615384616,77,26,1
spectral_mentions_2clusters_bib_unweight,0,0.07147798017062486,0.0026019459741281705,0.6551724137931034,0.3310344827586207,0.013793103448275862,95,48,2
spectral_mentions_2clusters_bib_unweight,1,0.11694719852432557,0.0012886554082667883,0.032467532467532464,0.33116883116883117,0.6363636363636364,5,51,98
spectral_mentions_2clusters_deg_discount_weight,0,1.501578226430826,0.002993404935982318,0.48031496062992124,0.2992125984251969,0.2204724409448819,61,38,28
spectral_mentions_2clusters_deg_discount_weight,1,0.3522720505032458,0.005078830865433006,0.22674418604651161,0.3546511627906977,0.4186046511627907,39,61,72
spectral_mentions_2clusters_deg_discount_unweight,0,0.07147798017062486,0.0026019459741281705,0.6551724137931034,0.3310344827586207,0.013793103448275862,95,48,2
spectral_mentions_2clusters_deg_discount_unweight,1,0.11694719852432557,0.0012886554082667883,0.032467532467532464,0.33116883116883117,0.6363636363636364,5,51,98
spectral_mentions_3clusters_undir_weight,0,0.5296140757367316,0.002222486812383251,0.2857142857142857,0.34285714285714286,0.37142857142857144,40,48,52
spectral_mentions_3clusters_undir_weight,1,0.5755688364055299,0.0028074488568917357,0.38,0.32666666666666666,0.29333333333333333,57,49,44
spectral_mentions_3clusters_undir_weight,2,0.7894952810832991,0.02038393654646956,0.3333333333333333,0.2222222222222222,0.4444444444444444,3,2,4
spectral_mentions_3clusters_undir_unweight,0,0.6382057839858352,0.008081011449455801,0.36792452830188677,0.3018867924528302,0.330188679245283,39,32,35
spectral_mentions_3clusters_undir_unweight,1,0.60394850610049,0.0007458311257520598,0.3333333333333333,0.37037037037037035,0.2962962962962963,36,40,32
spectral_mentions_3clusters_undir_unweight,2,0.7503745879532514,0.003170973346624606,0.29411764705882354,0.3176470588235294,0.38823529411764707,25,27,33
