Interaction Type,Cluster Method,Num Clusters,Avg Max Percent,Avg Min Percent,Avg Conductance,Homogeneity Score,Completeness Score,V Score,Conductance Rank,Conductance Type Rank,
replies,bib_unweight,3,0.70781893,0.032921811,0.152322537,0.362884744,0.412923123,0.386290235,41,1,5
mentions,bib_unweight,2,0.64548495,0.023411371,0.094896909,0.331476552,0.52571619,0.406589047,22,2,
replies,bib_unweight,2,0.716049383,0.028806584,0.091115427,0.366142018,0.571873117,0.446446479,14,4,
retweets,bib_unweight,2,0.643598616,0.024221453,0.110377186,0.326755313,0.517967317,0.400719874,4,4,
mentions,bib_unweight,4,0.732441472,0.033444816,0.683787857,0.455907718,0.37780248,0.413196497,85,5,
mentions,bib_unweight,3,0.658862876,0.023411371,0.553537437,0.357156696,0.369643791,0.363292974,56,6,
replies,bib_unweight,4,0.720164609,0.032921811,1.024057411,0.39974571,0.358938182,0.378244483,76,6,
retweets,bib_unweight,3,0.69550173,0.031141869,0.577831351,0.379553943,0.398391803,0.388744795,37,7,
retweets,bib_unweight,4,0.788927336,0.058823529,1.447329196,0.442203558,0.363989445,0.399302468,70,10,
retweets,bib_weight,2,0.633217993,0.034602076,0.086867274,0.317633851,0.507620711,0.390758267,1,1,5.111111111
retweets,bib_weight,3,0.602076125,0.065743945,0.206149964,0.271872834,0.281174727,0.276445554,32,2,
replies,bib_weight,2,0.711934156,0.032921811,0.084741271,0.355376193,0.555438301,0.433435239,13,3,
retweets,bib_weight,4,0.619377163,0.062283737,0.600953868,0.32318897,0.297670662,0.309905395,63,3,
replies,bib_weight,3,0.716049383,0.028806584,0.486468764,0.383299046,0.418538459,0.400144396,44,4,
mentions,bib_weight,2,0.588628763,0.080267559,0.217693454,0.233347707,0.396780394,0.293869754,26,6,
mentions,bib_weight,3,0.585284281,0.086956522,0.725230004,0.25659968,0.25770132,0.25714932,59,9,
mentions,bib_weight,4,0.568561873,0.100334448,0.810708123,0.218022948,0.194134675,0.20538654,89,9,
replies,bib_weight,4,0.720164609,0.024691358,1.229872171,0.398239561,0.366268031,0.381585275,79,9,
retweets,deg_discount_unweight,2,0.640138408,0.027681661,0.094339133,0.316428761,0.501597831,0.388055796,2,2,6
mentions,deg_discount_unweight,2,0.64548495,0.023411371,0.094896909,0.331476552,0.52571619,0.406589047,23,3,
mentions,deg_discount_unweight,3,0.638795987,0.030100334,0.504554863,0.330402016,0.339503129,0.33489075,54,4,
replies,deg_discount_unweight,2,0.70781893,0.037037037,0.108958414,0.340146301,0.533463415,0.415415726,16,6,
mentions,deg_discount_unweight,4,0.752508361,0.030100334,0.706528717,0.461483666,0.369512609,0.410408659,86,6,
replies,deg_discount_unweight,3,0.716049383,0.028806584,0.844081577,0.384891206,0.423600937,0.403319382,47,7,
replies,deg_discount_unweight,4,0.716049383,0.024691358,1.041344488,0.392513128,0.378625606,0.385444316,77,7,
retweets,deg_discount_unweight,4,0.674740484,0.038062284,1.368800067,0.36033124,0.286876795,0.319435686,69,9,
retweets,deg_discount_unweight,3,0.75432526,0.065743945,1.38831205,0.390216357,0.392842208,0.39152488,40,10,
replies,deg_discount_weight,2,0.70781893,0.037037037,0.094076162,0.339848302,0.532524723,0.414908801,15,5,7.666666667
