,User,Partition,Type,Affiliation,Description,Followers
0,algore,1,p,Democrat,"Former Vice President, Senator from Tennessee", 2 987 044 
1,ludacris,0,c,,music,11 646 194
2,whowhatwear,0,m,,"news, fashion",2 172 499
3,billboard,0,m,,"news, entertainment",4 128 761
4,eminem,0,c,,music,20 781 429
5,thehill,1,m,,"news, politics",1 403 577
6,mashable,0,m,,"news, digital/entertainment",7 822 855
7,leodicaprio,0,c,,actor,16 187 169
8,borisjohnson,1,p,Conservative,"Secretary of State for Foreign and Commonwealth Affairs UK, former mayor of London", 252 002 
9,ciara,0,c,,music,7 316 297
10,thereval,1,p,Democrat,"Civil rights activist, White House advisor; former presidential candidate", 505 722 
11,newsweek,1,m,,news,3 021 471
12,marcorubio,1,p,Republican,"Senator from Florida, Presidential Candidate", 1 614 541 
13,johnkasich,1,p,Republican,"Governor of Ohio, presidential candidate", 445 162 
14,tgowdysc,1,p,Republican/Tea Party,Representative for South Carolina, 329 498 
15,digg,1,m,,"news, aggregator",1 530 524
16,nikkihaley,1,p,Republican,Governor of South Carolina, 155 717 
17,freedomworks,1,p,Conservative/Libertarian,Advocacy group associated with Tea Party, 258 619 
18,sengillibrand,1,p,Democrat,Senator from New York, 193 501 
19,jessicasimpson,0,c,,"music, actress, business",7 260 030
20,kyliejenner,0,c,,reality tv,18 244 423
21,beyonce,0,c,,music,14 604 498
22,kendricklamar,0,c,,music,7 197 693
23,austinmahone,0,c,,music,9 622 038
24,bobbyjindal,1,p,Republican,"former Governor of Louisiana, presidential candidate", 243 624 
25,pryan,1,p,Republican,"House Speaker, Representative from Wisconsin", 751 219 
26,nickiminaj,0,c,,music,20 642 084
27,chrisbrown,0,c,,music,17 678 737
28,billclinton,1,p,Democrat,Former President, 6 074 980 
29,channingtatum,0,c,,actor,8 580 999
30,foxsports,0,m,,sports,1 721 963
31,travelleisure,0,m,,life,2 659 608
32,corybooker,1,p,Democrat,Senator from New Jersey, 1 811 500 
33,kobebryant,0,c,,athlete,10 767 414
34,nasahqphoto,1,p,None,, 2 367 358 
35,arianagrande,0,c,,music,42 217 817
36,latimes,1,m,,news,2 232 928
37,sensanders,1,p,Democrat,Presidential Candidate, 2 611 116 
38,teamcantor,1,p,Republican,Former representative from Virginia, 152 142 
39,danieltosh,0,c,,tv host,25 102 683
40,carlyfiorina,1,p,Republican,"President Candidate, former CEO of HP", 700 707 
41,jcolenc,0,c,,music,8 778 803
42,fastcompany,0,m,,"news, business",2 159 426
43,ambassadorrice,1,p,Democrat,"NSA Advisor, former ambassador to UN", 563 166 
44,gabbygiffords,1,p,Democrat,Former representative from Arizona, 198 236 
45,thehermancain,1,p,Republican/Tea Party,Presidential Candidate, 391 180 
46,jimcarrey,1,c,,actor,15 336 262
47,katyperry,0,c,,music,93 369 751
48,kdtrey5,0,c,,athlete,15 060 923
49,pbs,1,m,,news,2 248 400
50,marketwatch,1,m,,"news, business",3 053 908
51,reince,1,p,Republican,"Chairman of RNC, appointed chief of staff by Donald Trump", 492 052 
52,victoriajustice,0,c,,actress,9 457 260
53,aplusk,0,c,,actor,17 548 621
54,wsj,1,m,,"news, business",11 961 330
55,joebiden,1,p,Democrat,"VP, former Senator from Delaware", 1 252 999 
56,lagarde,1,p,France,"Managing director of IMF, former ministor of France", 370 456 
57,theatlantic,1,m,,news,1 355 557
58,louisfarrakhan,0,p,,"Activist, leader of Nation of Islam", 457 889 
59,nickelodeontv,0,m,,tv,3 978 544
60,senatorreid,1,p,Democrat,"Senator from Nevada, minority leader", 363 022 
61,kevinhart4real,0,c,,actor,30 841 367
62,vanityfair,0,m,,"news, entertainment",4 192 283
63,allenwest,1,p,Republican,former representative from Florida, 556 567 
64,discovery,0,m,,tv,5 688 007
65,ryanseacrest,0,c,,tv host,14 961 338
66,speakerryan,1,p,Republican,"House Speaker, Representative from Wisconsin", 867 047 
67,charliesheen,0,c,,actor,11 668 919
68,parentsmagazine,0,m,,life,3 764 262
69,natgeophotos,1,m,,life,2 391 940
70,jimmykimmel,0,c,,tv host,8 007 499
71,georgehwbush,1,p,Republican,Former president, 209 330 
72,people,0,m,,"news, entertainment",7 374 868
73,mariahcarey,0,c,,music,16 689 205
74,ellemagazine,0,m,,"news, fashion",5 992 669
75,foxnews,1,m,,news,11 238 760
76,kimkardashian,0,c,,reality tv,48 376 187
77,astro_jose,1,p,Democrat,"Former astronaut, candidate for California representative", 411 424 
78,wwd,0,m,,"news, fashion",2 946 016
79,usher,0,c,,music,11 402 470
80,thenextweb,1,m,,"news, tech business culture",1 694 885
81,liltunechi,0,c,,music,28 130 664
82,nbc,0,m,,news,1 433 728
83,gavinnewsom,1,p,Democrat,"Lieutenant Governor of California, former Mayor of SF", 1 243 200 
84,jlo,0,c,,music,37 532 371
85,iamdiddy,0,c,,music,11 719 947
86,cnni,1,m,,news,5 628 045
87,govmikehuckabee,1,p,Republican,"former governor of Arkansas, former presidential candidate", 498 556 
88,nancypelosi,1,p,Democrat,"House minority leader, Representative from California", 846 510 
89,espnstatsinfo,1,m,,sports,1 442 252
90,abc,1,m,,news,7 718 914
91,cbsnews,1,m,,news,4 870 269
92,oprah,0,c,,tv host,34 336 209
93,scottwalker,1,p,Republican,Governor of Wisconsin, 236 624 
94,harvardbiz,1,m,,"news, business",3 300 734
95,maroon5,0,c,,music,13 298 757
96,randpaul,1,p,Republican,Senator from Kentucky, 907 652 
97,kendalljenner,0,c,,reality tv,19 978 386
98,mcfaul,1,p,Democrat,Former US ambassador to Russia, 142 835 
99,ricksantorum,1,p,Republican,"former Senator from Pennsylvania, presidential candidate", 273 803 
100,salahitareq,0,p,Republican,"TV personality, candidate for governor/representative of virginia", 364 179 
101,stephenathome,1,c,,tv host,11 965 120
102,ronpaul,1,p,"Libertarian, former Republican","Former Representative from Texas, former presidential candidate", 596 749 
103,nytimesbooks,1,m,,life,4 031 507
104,taylorswift13,0,c,,music,81 148 129
105,sciam,1,m,,"news, science",1 765 868
106,gov,1,m,,twitter,2 274 522
107,parishilton,0,c,,"heiress, reality tv, actress, singer, model, business",13 855 030
108,gop,1,p,Republican,Group, 868 567 
109,speakerboehner,1,p,Republican,"Former House Speaker, Representative from Ohio", 1 294 929 
110,younghollywood,0,m,,"news, entertainment",3 009 372
111,usatoday,1,m,,news,2 696 144
112,billpostmus,1,p,Republican,Former elected official and GOP chair, 141 948 
113,hillaryclinton,1,p,Democrat,Presidential Candidate, 9 536 475 
114,slate,1,m,,news,1 611 624
115,twitterapi,1,m,,twitter,6 120 169
116,business,1,m,,"news, business",3 438 014
117,mirandacosgrove,0,c,,"actress, music",7 533 379
118,lmfao,0,c,,music,8 273 806
119,nbcnews,1,m,,news,3 876 084
120,univision,1,m,,news,2 449 479
121,elizabethforma,1,p,Democrat,Senator from Massachusetts, 761 098 
122,treysongz,0,c,,music,10 341 547
123,govchristie,1,p,Republican,Governor of New Jersey, 755 308 
124,stephencurry30,0,c,,athlete,7 191 327
125,aliciakeys,0,c,,music,24 030 712
126,jerrybrowngov,1,p,Democrat,Governor of California, 1 059 706 
127,kelly_clarkson,0,c,,music,11 188 966
128,kasimreed,1,p,Democrat,Mayor of Atlanta, 203 014 
129,usweekly,0,m,,"news, entertainment",2 020 664
130,blakeshelton,0,c,,music,18 108 880
131,hbo,0,m,,tv,1 572 360
132,zacefron,0,c,,actor,12 928 200
133,tmz,0,m,,"news, entertainment",4 245 203
134,cntraveler,0,m,,life,1 468 814
135,donnabrazile,1,p,Democrat,"Political analyst, interim chairperson at DNC", 566 124 
136,senschumer,1,p,Democrat,Senator from New York, 155 727 
137,nprpolitics,1,m,,news,2 368 651
138,senwarren,1,p,Democrat,Senator from Massachusetts, 965 964 
139,selenagomez,0,c,,music,45 945 224
140,housedemocrats,1,p,Democrat,Group, 359 247 
141,ddlovato,0,c,,music,38 874 223
142,kanyewest,0,c,,music,26 246 721
143,thr,0,m,,"news, entertainment",2 241 497
144,theellenshow,0,c,,tv host,62 588 079
145,techcrunch,0,m,,"news, tech",7 691 459
146,johnlegend,0,c,,music,8 258 195
147,realsimple,0,m,,life,1 469 468
148,foramerica,1,p,Republican,, 142 806 
149,rbreich,1,p,Democrat,former Secretary of Labor, 300 649 
150,marieclaire,0,m,,"news, fashion",2 176 416
151,lifehacker,0,m,,life,3 489 963
152,mileycyrus,0,c,,music,30 804 092
153,repronpaul,1,p,Libertarian,"Former representative from Texas, former presidential candidate, former Republican", 178 856 
154,mufihannemann,1,p,Democrat,Former mayor of Honollulu, 487 094 
155,iamqueenlatifah,0,c,,"music, actress ",7 210 828
156,johncena,0,c,,"athlete, actor, music",8 756 823
157,entrepreneur,1,m,,"news, business",2 640 174
158,nbaontnt,0,m,,sports,1 693 067
159,gameinformer,1,m,,"news, games",1 860 001
160,lindsaylohan,0,c,,actress,9 312 088
161,tyrabanks,0,c,,"model, tv, business",13 515 832
162,politico,1,m,,"news, politics",2 075 384
163,uninoticias,1,m,,news,1 467 289
164,mindykaling,0,c,,"actress, comedian",7 955 002
165,50cent,0,c,,music,8 723 410
166,kourtneykardash,0,c,,reality tv,21 163 315
167,nytimesarts,0,m,,"news, entertainment",2 256 794
168,dwstweets,1,p,Democrat,"Representative for Florida, former DNC chair", 356 761 
169,brunomars,0,c,,music,26 460 279
170,iggyazalea,0,c,,music,7 117 671
171,conanobrien,0,c,,tv host,21 989 171
172,gadgetlab,0,m,,"news, tech",1 940 731
173,andersoncooper,1,c,,tv host,8 649 168
174,sentedcruz,1,p,Republican,"Senator from Texas, Presidential Candidate", 803 738 
175,britneyspears,0,c,,music,47 938 333
176,enews,0,m,,"news, entertainment",10 328 085
177,bbcbusiness,1,m,,"news, business",1 813 451
178,npr,1,m,,news,6 245 878
179,tyga,0,c,,music,7065252
180,realbencarson,1,p,Republican,Presidential Candidate, 2 168 028 
181,billdeblasio,1,p,Democrat,Mayor of New York, 655 619 
182,actuallynph,0,c,,actor,25 593 162
183,timkaine,1,p,Democrat,"Senator for Virginia, VP candidate", 356 874 
184,washingtonpost,1,m,,news,7 589 534
185,cosmopolitan,0,m,,life,1 514 205
186,khloekardashian,0,c,,reality tv,22 208 174
