,User,Partition,Type
0,algore,2,p
1,ludacris,0,c
2,whowhatwear,0,m
3,billboard,0,m
4,eminem,2,c
5,thehill,1,m
6,mashable,1,m
7,leodicaprio,1,c
8,borisjohnson,0,p
9,ciara,1,c
10,thereval,1,p
11,newsweek,1,m
12,marcorubio,2,p
13,johnkasich,2,p
14,tgowdysc,2,p
15,digg,1,m
16,nikkihaley,1,p
17,freedomworks,0,p
18,sengillibrand,0,p
19,jessicasimpson,0,c
20,kyliejenner,0,c
21,beyonce,0,c
22,kendricklamar,2,c
23,austinmahone,0,c
24,bobbyjindal,1,p
25,pryan,1,p
26,nickiminaj,1,c
27,chrisbrown,0,c
28,billclinton,1,p
29,channingtatum,1,c
30,foxsports,0,m
31,travelleisure,1,m
32,corybooker,0,p
33,kobebryant,1,c
34,nasahqphoto,1,p
35,arianagrande,0,c
36,latimes,1,m
37,sensanders,2,p
38,teamcantor,2,p
39,danieltosh,0,c
40,carlyfiorina,2,p
41,jcolenc,0,c
42,fastcompany,1,m
43,ambassadorrice,0,p
44,gabbygiffords,2,p
45,thehermancain,0,p
46,jimcarrey,0,c
47,katyperry,0,c
48,kdtrey5,1,c
49,pbs,2,m
50,marketwatch,0,m
51,reince,0,p
52,victoriajustice,2,c
53,aplusk,2,c
54,wsj,1,m
55,joebiden,1,p
56,lagarde,0,p
57,theatlantic,2,m
58,louisfarrakhan,0,p
59,nickelodeontv,1,m
60,senatorreid,1,p
61,kevinhart4real,0,c
62,vanityfair,2,m
63,allenwest,0,p
64,discovery,0,m
65,ryanseacrest,1,c
66,speakerryan,0,p
67,charliesheen,2,c
68,parentsmagazine,1,m
69,natgeophotos,0,m
70,jimmykimmel,1,c
71,georgehwbush,2,p
72,people,0,m
73,mariahcarey,1,c
74,ellemagazine,0,m
75,foxnews,0,m
76,kimkardashian,1,c
77,astro_jose,0,p
78,wwd,0,m
79,usher,2,c
80,thenextweb,0,m
81,liltunechi,0,c
82,nbc,1,m
83,gavinnewsom,2,p
84,jlo,2,c
85,iamdiddy,1,c
86,cnni,2,m
87,govmikehuckabee,2,p
88,nancypelosi,0,p
89,espnstatsinfo,2,m
90,abc,1,m
91,cbsnews,1,m
92,oprah,0,c
93,scottwalker,1,p
94,harvardbiz,1,m
95,maroon5,2,c
96,randpaul,1,p
97,kendalljenner,0,c
98,mcfaul,1,p
99,ricksantorum,1,p
100,salahitareq,0,p
101,stephenathome,1,c
102,ronpaul,0,p
103,nytimesbooks,2,m
104,taylorswift13,0,c
105,sciam,2,m
106,gov,2,m
107,parishilton,0,c
108,gop,2,p
109,speakerboehner,2,p
110,younghollywood,2,m
111,usatoday,1,m
112,billpostmus,1,p
113,hillaryclinton,1,p
114,slate,1,m
115,twitterapi,2,m
116,business,2,m
117,mirandacosgrove,1,c
118,lmfao,2,c
119,nbcnews,0,m
120,univision,0,m
121,elizabethforma,0,p
122,treysongz,0,c
123,govchristie,1,p
124,stephencurry30,0,c
125,aliciakeys,1,c
126,jerrybrowngov,0,p
127,kelly_clarkson,0,c
128,kasimreed,2,p
129,usweekly,1,m
130,blakeshelton,0,c
131,hbo,0,m
132,zacefron,2,c
133,tmz,2,m
134,cntraveler,2,m
135,donnabrazile,1,p
136,senschumer,2,p
137,nprpolitics,0,m
138,senwarren,2,p
139,selenagomez,0,c
140,housedemocrats,0,p
141,ddlovato,0,c
142,kanyewest,0,c
143,thr,0,m
144,theellenshow,1,c
145,techcrunch,2,m
146,johnlegend,1,c
147,realsimple,2,m
148,foramerica,0,p
149,rbreich,0,p
150,marieclaire,1,m
151,lifehacker,0,m
152,mileycyrus,2,c
153,repronpaul,1,p
154,mufihannemann,0,p
155,iamqueenlatifah,1,c
156,johncena,1,c
157,entrepreneur,0,m
158,nbaontnt,1,m
159,gameinformer,0,m
160,lindsaylohan,0,c
161,tyrabanks,2,c
162,politico,0,m
163,uninoticias,0,m
164,mindykaling,0,c
165,50cent,0,c
166,kourtneykardash,0,c
167,nytimesarts,1,m
168,dwstweets,2,p
169,brunomars,0,c
170,iggyazalea,2,c
171,conanobrien,1,c
172,gadgetlab,2,m
173,andersoncooper,0,c
174,sentedcruz,2,p
175,britneyspears,0,c
176,enews,0,m
177,bbcbusiness,1,m
178,npr,2,m
179,tyga,2,c
180,realbencarson,0,p
181,billdeblasio,1,p
182,actuallynph,1,c
183,timkaine,2,p
184,washingtonpost,2,m
185,cosmopolitan,1,m
186,khloekardashian,0,c
187,esquirenetwork,1,m
188,wiredscience,1,m
189,nbatv,0,m
190,jessicaalba,1,c
191,jebbush,2,p
192,womenshealthmag,1,m
193,karlrove,2,p
194,condoleezzarice,0,p
195,johnemichel,1,p
196,realdonaldtrump,2,p
197,governorperry,1,p
198,voterocky2016,1,p
199,billgates,2,c
200,sarahpalinusa,0,p
201,joetrippi,1,p
202,ew,1,m
203,foodandwine,1,m
204,sarahksilverman,0,c
205,buzzfeed,1,m
206,fortunemagazine,0,m
207,evalongoria,0,c
208,xtina,0,c
209,azizansari,1,c
210,camerondallas,0,c
211,iamwill,1,c
212,pharrell,1,c
213,bw,2,m
214,serenawilliams,2,c
215,newtgingrich,1,p
216,govgaryjohnson,1,p
217,potus,0,p
218,bet,1,m
219,history,2,m
220,senmikelee,0,p
221,therock,2,c
222,cnbc,2,m
223,thedemocrats,0,p
224,johnkerry,2,p
225,govwalker,2,p
226,darrellissa,1,p
227,sethmacfarlane,2,c
228,marcanthony,2,c
229,michelebachmann,1,p
230,tmagazine,1,m
231,dccc,0,p
232,goodhealth,1,m
233,travelchannel,0,m
234,ap,0,m
235,shawnmendes,1,c
236,snoopdogg,2,c
237,carmeloanthony,1,c
238,cnnmoney,0,m
239,lukebryanonline,1,c
240,rollingstone,2,m
241,sai,0,m
242,tomhanks,0,c
243,pink,0,c
244,ashleytisdale,2,c
