,User,Partition,Type
0,algore,2,p
1,ludacris,3,c
2,whowhatwear,0,m
3,billboard,1,m
4,eminem,3,c
5,thehill,2,m
6,mashable,0,m
7,leodicaprio,2,c
8,borisjohnson,2,p
9,ciara,1,c
10,thereval,2,p
11,newsweek,2,m
12,marcorubio,2,p
13,johnkasich,2,p
14,tgowdysc,2,p
15,digg,2,m
16,nikkihaley,2,p
17,freedomworks,2,p
18,sengillibrand,2,p
19,jessicasimpson,1,c
20,kyliejenner,1,c
21,beyonce,2,c
22,kendricklamar,3,c
23,austinmahone,1,c
24,bobbyjindal,2,p
25,pryan,2,p
26,nickiminaj,1,c
27,chrisbrown,3,c
28,billclinton,3,p
29,channingtatum,1,c
30,foxsports,3,m
31,travelleisure,1,m
32,corybooker,2,p
33,kobebryant,3,c
34,nasahqphoto,2,p
35,arianagrande,1,c
36,latimes,0,m
37,sensanders,2,p
38,teamcantor,2,p
39,danieltosh,0,c
40,carlyfiorina,2,p
41,jcolenc,3,c
42,fastcompany,0,m
43,ambassadorrice,2,p
44,gabbygiffords,2,p
45,thehermancain,2,p
46,jimcarrey,2,c
47,katyperry,1,c
48,kdtrey5,3,c
49,pbs,2,m
50,marketwatch,2,m
51,reince,2,p
52,victoriajustice,1,c
53,aplusk,1,c
54,wsj,0,m
55,joebiden,2,p
56,lagarde,0,p
57,theatlantic,0,m
58,louisfarrakhan,3,p
59,nickelodeontv,1,m
60,senatorreid,2,p
61,kevinhart4real,3,c
62,vanityfair,0,m
63,allenwest,2,p
64,discovery,1,m
65,ryanseacrest,1,c
66,speakerryan,2,p
67,charliesheen,1,c
68,parentsmagazine,1,m
69,natgeophotos,0,m
70,jimmykimmel,1,c
71,georgehwbush,2,p
72,people,0,m
73,mariahcarey,1,c
74,ellemagazine,0,m
75,foxnews,2,m
76,kimkardashian,1,c
77,astro_jose,0,p
78,wwd,1,m
79,usher,3,c
80,thenextweb,0,m
81,liltunechi,3,c
82,nbc,1,m
83,gavinnewsom,2,p
84,jlo,1,c
85,iamdiddy,1,c
86,cnni,0,m
87,govmikehuckabee,2,p
88,nancypelosi,2,p
89,espnstatsinfo,3,m
90,abc,0,m
91,cbsnews,2,m
92,oprah,1,c
93,scottwalker,2,p
94,harvardbiz,2,m
95,maroon5,1,c
96,randpaul,2,p
97,kendalljenner,1,c
98,mcfaul,2,p
99,ricksantorum,2,p
100,salahitareq,1,p
101,stephenathome,2,c
102,ronpaul,2,p
103,nytimesbooks,0,m
104,taylorswift13,1,c
105,sciam,0,m
106,gov,2,m
107,parishilton,1,c
108,gop,2,p
109,speakerboehner,2,p
110,younghollywood,1,m
111,usatoday,0,m
112,billpostmus,2,p
113,hillaryclinton,2,p
114,slate,0,m
115,twitterapi,2,m
116,business,2,m
117,mirandacosgrove,1,c
118,lmfao,1,c
119,nbcnews,2,m
120,univision,0,m
121,elizabethforma,2,p
122,treysongz,3,c
123,govchristie,2,p
124,stephencurry30,3,c
125,aliciakeys,1,c
126,jerrybrowngov,2,p
127,kelly_clarkson,1,c
128,kasimreed,2,p
129,usweekly,1,m
130,blakeshelton,1,c
131,hbo,1,m
132,zacefron,1,c
133,tmz,1,m
134,cntraveler,1,m
135,donnabrazile,2,p
136,senschumer,2,p
137,nprpolitics,2,m
138,senwarren,2,p
139,selenagomez,1,c
140,housedemocrats,2,p
141,ddlovato,1,c
142,kanyewest,1,c
143,thr,1,m
144,theellenshow,1,c
145,techcrunch,0,m
146,johnlegend,2,c
147,realsimple,1,m
148,foramerica,2,p
149,rbreich,2,p
150,marieclaire,0,m
151,lifehacker,2,m
152,mileycyrus,1,c
153,repronpaul,2,p
154,mufihannemann,2,p
155,iamqueenlatifah,1,c
156,johncena,1,c
157,entrepreneur,0,m
158,nbaontnt,3,m
159,gameinformer,0,m
160,lindsaylohan,1,c
161,tyrabanks,1,c
162,politico,2,m
163,uninoticias,2,m
164,mindykaling,1,c
165,50cent,1,c
166,kourtneykardash,1,c
167,nytimesarts,1,m
168,dwstweets,2,p
169,brunomars,1,c
170,iggyazalea,1,c
171,conanobrien,0,c
172,gadgetlab,1,m
173,andersoncooper,2,c
174,sentedcruz,2,p
175,britneyspears,1,c
176,enews,0,m
177,bbcbusiness,0,m
178,npr,0,m
179,tyga,3,c
180,realbencarson,2,p
181,billdeblasio,0,p
182,actuallynph,1,c
183,timkaine,2,p
184,washingtonpost,0,m
185,cosmopolitan,0,m
186,khloekardashian,1,c
187,esquirenetwork,1,m
188,wiredscience,2,m
189,nbatv,3,m
190,jessicaalba,1,c
191,jebbush,2,p
192,womenshealthmag,0,m
193,karlrove,2,p
194,condoleezzarice,2,p
195,johnemichel,2,p
196,realdonaldtrump,2,p
197,governorperry,2,p
198,voterocky2016,2,p
199,billgates,2,c
200,sarahpalinusa,2,p
201,joetrippi,2,p
202,ew,1,m
203,foodandwine,1,m
204,sarahksilverman,2,c
205,buzzfeed,0,m
206,fortunemagazine,0,m
207,evalongoria,1,c
208,xtina,1,c
209,azizansari,1,c
210,camerondallas,1,c
211,iamwill,1,c
212,pharrell,1,c
213,bw,2,m
214,serenawilliams,1,c
215,newtgingrich,2,p
216,govgaryjohnson,2,p
217,potus,3,p
218,bet,3,m
219,history,2,m
220,senmikelee,2,p
221,therock,1,c
222,cnbc,0,m
223,thedemocrats,2,p
224,johnkerry,2,p
225,govwalker,2,p
226,darrellissa,2,p
227,sethmacfarlane,2,c
228,marcanthony,0,c
229,michelebachmann,2,p
230,tmagazine,0,m
231,dccc,2,p
232,goodhealth,1,m
233,travelchannel,1,m
234,ap,0,m
235,shawnmendes,1,c
236,snoopdogg,3,c
237,carmeloanthony,3,c
238,cnnmoney,2,m
239,lukebryanonline,1,c
240,rollingstone,2,m
241,sai,2,m
242,tomhanks,1,c
