,User,Partition,Type
0,algore,2,p
1,ludacris,3,c
2,whowhatwear,3,m
3,billboard,3,m
4,eminem,0,c
5,thehill,1,m
6,mashable,2,m
7,leodicaprio,2,c
8,borisjohnson,3,p
9,ciara,2,c
10,thereval,2,p
11,newsweek,1,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,digg,2,m
16,nikkihaley,2,p
17,freedomworks,3,p
18,sengillibrand,3,p
19,jessicasimpson,3,c
20,kyliejenner,3,c
21,beyonce,3,c
22,kendricklamar,0,c
23,austinmahone,3,c
24,bobbyjindal,1,p
25,pryan,0,p
26,nickiminaj,1,c
27,chrisbrown,3,c
28,billclinton,2,p
29,channingtatum,2,c
30,foxsports,3,m
31,travelleisure,2,m
32,corybooker,3,p
33,kobebryant,1,c
34,nasahqphoto,2,p
35,arianagrande,3,c
36,latimes,1,m
37,sensanders,0,p
38,teamcantor,0,p
39,danieltosh,3,c
40,carlyfiorina,0,p
41,jcolenc,3,c
42,fastcompany,1,m
43,ambassadorrice,3,p
44,gabbygiffords,0,p
45,thehermancain,3,p
46,jimcarrey,3,c
47,katyperry,3,c
48,kdtrey5,2,c
49,pbs,0,m
50,marketwatch,3,m
51,reince,2,p
52,victoriajustice,0,c
53,aplusk,0,c
54,wsj,1,m
55,joebiden,3,p
56,lagarde,3,p
57,theatlantic,0,m
58,louisfarrakhan,3,p
59,nickelodeontv,1,m
60,senatorreid,0,p
61,kevinhart4real,3,c
62,vanityfair,0,m
63,allenwest,3,p
64,discovery,3,m
65,ryanseacrest,2,c
66,speakerryan,3,p
67,charliesheen,0,c
68,parentsmagazine,1,m
69,natgeophotos,3,m
70,jimmykimmel,1,c
71,georgehwbush,0,p
72,people,3,m
73,mariahcarey,1,c
74,ellemagazine,1,m
75,foxnews,3,m
76,kimkardashian,1,c
77,astro_jose,3,p
78,wwd,3,m
79,usher,2,c
80,thenextweb,3,m
81,liltunechi,3,c
82,nbc,1,m
83,gavinnewsom,0,p
84,jlo,2,c
85,iamdiddy,2,c
86,cnni,0,m
87,govmikehuckabee,0,p
88,nancypelosi,2,p
89,espnstatsinfo,0,m
90,abc,2,m
91,cbsnews,1,m
92,oprah,3,c
93,scottwalker,1,p
94,harvardbiz,2,m
95,maroon5,0,c
96,randpaul,2,p
97,kendalljenner,3,c
98,mcfaul,1,p
99,ricksantorum,2,p
100,salahitareq,3,p
101,stephenathome,1,c
102,ronpaul,3,p
103,nytimesbooks,0,m
104,taylorswift13,3,c
105,sciam,0,m
106,gov,0,m
107,parishilton,2,c
108,gop,0,p
109,speakerboehner,0,p
110,younghollywood,2,m
111,usatoday,1,m
112,billpostmus,2,p
113,hillaryclinton,2,p
114,slate,1,m
115,twitterapi,0,m
116,business,0,m
117,mirandacosgrove,1,c
118,lmfao,2,c
119,nbcnews,3,m
120,univision,3,m
121,elizabethforma,3,p
122,treysongz,3,c
123,govchristie,2,p
124,stephencurry30,3,c
125,aliciakeys,2,c
126,jerrybrowngov,3,p
127,kelly_clarkson,3,c
128,kasimreed,0,p
129,usweekly,2,m
130,blakeshelton,3,c
131,hbo,3,m
132,zacefron,0,c
133,tmz,2,m
134,cntraveler,2,m
135,donnabrazile,1,p
136,senschumer,2,p
137,nprpolitics,3,m
138,senwarren,2,p
139,selenagomez,3,c
140,housedemocrats,3,p
141,ddlovato,3,c
142,kanyewest,2,c
143,thr,3,m
144,theellenshow,2,c
145,techcrunch,0,m
146,johnlegend,2,c
147,realsimple,0,m
148,foramerica,3,p
149,rbreich,3,p
150,marieclaire,2,m
151,lifehacker,3,m
152,mileycyrus,0,c
153,repronpaul,2,p
154,mufihannemann,3,p
155,iamqueenlatifah,2,c
156,johncena,2,c
157,entrepreneur,3,m
158,nbaontnt,1,m
159,gameinformer,3,m
160,lindsaylohan,3,c
161,tyrabanks,2,c
162,politico,3,m
163,uninoticias,3,m
164,mindykaling,2,c
165,50cent,3,c
166,kourtneykardash,3,c
167,nytimesarts,2,m
168,dwstweets,0,p
169,brunomars,3,c
170,iggyazalea,2,c
171,conanobrien,1,c
172,gadgetlab,0,m
173,andersoncooper,3,c
174,sentedcruz,0,p
175,britneyspears,3,c
176,enews,1,m
177,bbcbusiness,1,m
178,npr,0,m
179,tyga,2,c
180,realbencarson,3,p
181,billdeblasio,2,p
182,actuallynph,2,c
183,timkaine,2,p
184,washingtonpost,0,m
185,cosmopolitan,1,m
186,khloekardashian,3,c
187,esquirenetwork,2,m
188,wiredscience,2,m
189,nbatv,3,m
190,jessicaalba,2,c
191,jebbush,0,p
192,womenshealthmag,1,m
193,karlrove,0,p
194,condoleezzarice,3,p
195,johnemichel,2,p
196,realdonaldtrump,0,p
197,governorperry,2,p
198,voterocky2016,2,p
199,billgates,0,c
200,sarahpalinusa,3,p
201,joetrippi,2,p
202,ew,2,m
203,foodandwine,1,m
204,sarahksilverman,3,c
205,buzzfeed,2,m
206,fortunemagazine,3,m
207,evalongoria,2,c
208,xtina,3,c
209,azizansari,1,c
210,camerondallas,3,c
211,iamwill,1,c
212,pharrell,1,c
213,bw,0,m
214,serenawilliams,2,c
215,newtgingrich,2,p
216,govgaryjohnson,3,p
217,potus,1,p
218,bet,1,m
219,history,0,m
220,senmikelee,3,p
221,therock,0,c
222,cnbc,0,m
223,thedemocrats,3,p
224,johnkerry,0,p
225,govwalker,0,p
226,darrellissa,1,p
227,sethmacfarlane,0,c
228,marcanthony,0,c
229,michelebachmann,2,p
230,tmagazine,2,m
231,dccc,3,p
232,goodhealth,1,m
233,travelchannel,3,m
234,ap,3,m
235,shawnmendes,1,c
236,snoopdogg,0,c
237,carmeloanthony,2,c
238,cnnmoney,1,m
239,lukebryanonline,2,c
240,rollingstone,0,m
241,sai,3,m
242,tomhanks,3,c
