,User,Partition,Type
0,algore,0,p
1,ludacris,2,c
2,whowhatwear,2,m
3,billboard,2,m
4,eminem,0,c
5,thehill,3,m
6,mashable,0,m
7,leodicaprio,0,c
8,borisjohnson,2,p
9,ciara,3,c
10,thereval,3,p
11,newsweek,3,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,digg,0,m
16,nikkihaley,0,p
17,freedomworks,2,p
18,sengillibrand,1,p
19,jessicasimpson,2,c
20,kyliejenner,2,c
21,beyonce,2,c
22,kendricklamar,3,c
23,austinmahone,2,c
24,bobbyjindal,0,p
25,pryan,3,p
26,nickiminaj,0,c
27,chrisbrown,2,c
28,billclinton,0,p
29,channingtatum,0,c
30,foxsports,2,m
31,travelleisure,0,m
32,corybooker,2,p
33,kobebryant,0,c
34,nasahqphoto,0,p
35,arianagrande,2,c
36,latimes,2,m
37,sensanders,3,p
38,teamcantor,3,p
39,danieltosh,2,c
40,carlyfiorina,0,p
41,jcolenc,2,c
42,fastcompany,3,m
43,ambassadorrice,2,p
44,gabbygiffords,3,p
45,thehermancain,1,p
46,jimcarrey,2,c
47,katyperry,2,c
48,kdtrey5,3,c
49,pbs,3,m
50,marketwatch,2,m
51,reince,2,p
52,victoriajustice,0,c
53,aplusk,3,c
54,wsj,3,m
55,joebiden,2,p
56,lagarde,2,p
57,theatlantic,0,m
58,louisfarrakhan,2,p
59,nickelodeontv,0,m
60,senatorreid,0,p
61,kevinhart4real,2,c
62,vanityfair,0,m
63,allenwest,2,p
64,discovery,2,m
65,ryanseacrest,0,c
66,speakerryan,3,p
67,charliesheen,0,c
68,parentsmagazine,2,m
69,natgeophotos,2,m
70,jimmykimmel,2,c
71,georgehwbush,3,p
72,people,1,m
73,mariahcarey,0,c
74,ellemagazine,2,m
75,foxnews,2,m
76,kimkardashian,0,c
77,astro_jose,2,p
78,wwd,2,m
79,usher,3,c
80,thenextweb,2,m
81,liltunechi,2,c
82,nbc,0,m
83,gavinnewsom,3,p
84,jlo,0,c
85,iamdiddy,0,c
86,cnni,0,m
87,govmikehuckabee,3,p
88,nancypelosi,2,p
89,espnstatsinfo,3,m
90,abc,0,m
91,cbsnews,3,m
92,oprah,1,c
93,scottwalker,2,p
94,harvardbiz,0,m
95,maroon5,3,c
96,randpaul,2,p
97,kendalljenner,2,c
98,mcfaul,3,p
99,ricksantorum,0,p
100,salahitareq,2,p
101,stephenathome,3,c
102,ronpaul,2,p
103,nytimesbooks,2,m
104,taylorswift13,2,c
105,sciam,0,m
106,gov,0,m
107,parishilton,0,c
108,gop,0,p
109,speakerboehner,3,p
110,younghollywood,0,m
111,usatoday,0,m
112,billpostmus,0,p
113,hillaryclinton,0,p
114,slate,3,m
115,twitterapi,0,m
116,business,0,m
117,mirandacosgrove,3,c
118,lmfao,3,c
119,nbcnews,2,m
120,univision,2,m
121,elizabethforma,2,p
122,treysongz,2,c
123,govchristie,0,p
124,stephencurry30,2,c
125,aliciakeys,3,c
126,jerrybrowngov,2,p
127,kelly_clarkson,2,c
128,kasimreed,0,p
129,usweekly,2,m
130,blakeshelton,2,c
131,hbo,2,m
132,zacefron,0,c
133,tmz,3,m
134,cntraveler,0,m
135,donnabrazile,3,p
136,senschumer,0,p
137,nprpolitics,2,m
138,senwarren,0,p
139,selenagomez,2,c
140,housedemocrats,1,p
141,ddlovato,2,c
142,kanyewest,2,c
143,thr,2,m
144,theellenshow,2,c
145,techcrunch,3,m
146,johnlegend,0,c
147,realsimple,3,m
148,foramerica,2,p
149,rbreich,2,p
150,marieclaire,2,m
151,lifehacker,2,m
152,mileycyrus,0,c
153,repronpaul,2,p
154,mufihannemann,2,p
155,iamqueenlatifah,0,c
156,johncena,0,c
157,entrepreneur,2,m
158,nbaontnt,3,m
159,gameinformer,2,m
160,lindsaylohan,2,c
161,tyrabanks,0,c
162,politico,2,m
163,uninoticias,2,m
164,mindykaling,2,c
165,50cent,2,c
166,kourtneykardash,1,c
167,nytimesarts,0,m
168,dwstweets,0,p
169,brunomars,2,c
170,iggyazalea,0,c
171,conanobrien,2,c
172,gadgetlab,0,m
173,andersoncooper,2,c
174,sentedcruz,0,p
175,britneyspears,2,c
176,enews,2,m
177,bbcbusiness,3,m
178,npr,0,m
179,tyga,0,c
180,realbencarson,2,p
181,billdeblasio,0,p
182,actuallynph,0,c
183,timkaine,3,p
184,washingtonpost,0,m
185,cosmopolitan,1,m
186,khloekardashian,1,c
187,esquirenetwork,2,m
188,wiredscience,0,m
189,nbatv,2,m
190,jessicaalba,2,c
191,jebbush,3,p
192,womenshealthmag,2,m
193,karlrove,0,p
194,condoleezzarice,2,p
195,johnemichel,0,p
196,realdonaldtrump,3,p
197,governorperry,3,p
198,voterocky2016,0,p
199,billgates,0,c
200,sarahpalinusa,2,p
201,joetrippi,2,p
202,ew,3,m
203,foodandwine,2,m
204,sarahksilverman,2,c
205,buzzfeed,3,m
206,fortunemagazine,2,m
207,evalongoria,2,c
208,xtina,2,c
209,azizansari,2,c
210,camerondallas,2,c
211,iamwill,0,c
212,pharrell,2,c
213,bw,3,m
214,serenawilliams,3,c
215,newtgingrich,0,p
216,govgaryjohnson,2,p
217,potus,2,p
218,bet,0,m
219,history,0,m
220,senmikelee,2,p
221,therock,0,c
222,cnbc,0,m
223,thedemocrats,2,p
224,johnkerry,3,p
225,govwalker,0,p
226,darrellissa,2,p
227,sethmacfarlane,0,c
228,marcanthony,0,c
229,michelebachmann,2,p
230,tmagazine,0,m
231,dccc,2,p
232,goodhealth,2,m
233,travelchannel,2,m
234,ap,2,m
235,shawnmendes,0,c
236,snoopdogg,0,c
237,carmeloanthony,0,c
238,cnnmoney,2,m
239,lukebryanonline,0,c
240,rollingstone,0,m
241,sai,2,m
242,tomhanks,2,c
243,pink,2,c
244,ashleytisdale,0,c
245,joejonas,2,c
246,repjohnlewis,3,p
247,teenvogue,2,m
248,menshealthmag,0,m
249,alfranken,1,p
250,voguemagazine,0,m
251,johnkingated,3,p
252,businessinsider,2,m
253,lindasuhler,2,p
254,jtimberlake,0,c
255,mittromney,2,p
256,jimdemint,0,p
257,comedycentral,0,m
258,massgovernor,2,p
259,inc,0,m
260,bigsean,0,c
261,tedcruz,0,p
262,bishopnoeljones,3,p
263,nytimes,0,m
264,krisjenner,3,c
