,User,Partition,Type
0,algore,1,p
1,ludacris,3,c
2,whowhatwear,2,m
3,billboard,3,m
4,eminem,3,c
5,thehill,0,m
6,mashable,0,m
7,leodicaprio,2,c
8,borisjohnson,2,p
9,ciara,3,c
10,thereval,2,p
11,newsweek,2,m
12,marcorubio,1,p
13,johnkasich,1,p
14,tgowdysc,1,p
15,digg,1,m
16,nikkihaley,1,p
17,freedomworks,1,p
18,sengillibrand,2,p
19,jessicasimpson,3,c
20,kyliejenner,3,c
21,beyonce,3,c
22,kendricklamar,3,c
23,austinmahone,3,c
24,bobbyjindal,1,p
25,pryan,1,p
26,nickiminaj,3,c
27,chrisbrown,3,c
28,billclinton,0,p
29,channingtatum,3,c
30,foxsports,3,m
31,travelleisure,2,m
32,corybooker,1,p
33,kobebryant,3,c
34,nasahqphoto,2,p
35,arianagrande,3,c
36,latimes,0,m
37,sensanders,1,p
38,teamcantor,1,p
39,danieltosh,2,c
40,carlyfiorina,1,p
41,jcolenc,3,c
42,fastcompany,2,m
43,ambassadorrice,2,p
44,gabbygiffords,1,p
45,thehermancain,1,p
46,jimcarrey,2,c
47,katyperry,3,c
48,kdtrey5,3,c
49,pbs,2,m
50,marketwatch,2,m
51,reince,1,p
52,victoriajustice,3,c
53,aplusk,3,c
54,wsj,0,m
55,joebiden,0,p
56,lagarde,2,p
57,theatlantic,0,m
58,louisfarrakhan,2,p
59,nickelodeontv,3,m
60,senatorreid,1,p
61,kevinhart4real,3,c
62,vanityfair,2,m
63,allenwest,0,p
64,discovery,3,m
65,ryanseacrest,3,c
66,speakerryan,0,p
67,charliesheen,3,c
68,parentsmagazine,2,m
69,natgeophotos,2,m
70,jimmykimmel,3,c
71,georgehwbush,0,p
72,people,0,m
73,mariahcarey,3,c
74,ellemagazine,2,m
75,foxnews,0,m
76,kimkardashian,3,c
77,astro_jose,2,p
78,wwd,2,m
79,usher,3,c
80,thenextweb,2,m
81,liltunechi,3,c
82,nbc,3,m
83,gavinnewsom,1,p
84,jlo,3,c
85,iamdiddy,3,c
86,cnni,2,m
87,govmikehuckabee,1,p
88,nancypelosi,1,p
89,espnstatsinfo,2,m
90,abc,0,m
91,cbsnews,0,m
92,oprah,3,c
93,scottwalker,1,p
94,harvardbiz,2,m
95,maroon5,3,c
96,randpaul,1,p
97,kendalljenner,3,c
