,User,Partition,Type,Affiliation,Description,Followers
0,algore,0,p,Democrat,"Former Vice President, Senator from Tennessee", 2 987 044 
1,ludacris,1,c,,music,11 646 194
2,chrisbrown,1,c,,music,17 678 737
3,channingtatum,1,c,,actor,8 580 999
4,thehill,0,m,,"news, politics",1 403 577
5,mashable,1,m,,"news, digital/entertainment",7 822 855
6,leodicaprio,0,c,,actor,16 187 169
7,ciara,1,c,,music,7 316 297
8,thereval,0,p,Democrat,"Civil rights activist, White House advisor; former presidential candidate", 505 722 
9,newsweek,0,m,,news,3 021 471
10,marcorubio,0,p,Republican,"Senator from Florida, Presidential Candidate", 1 614 541 
11,johnkasich,0,p,Republican,"Governor of Ohio, presidential candidate", 445 162 
12,tgowdysc,0,p,Republican/Tea Party,Representative for South Carolina, 329 498 
13,freedomworks,0,p,Conservative/Libertarian,Advocacy group associated with Tea Party, 258 619 
14,sengillibrand,0,p,Democrat,Senator from New York, 193 501 
15,jessicasimpson,0,c,,"music, actress, business",7 260 030
16,kyliejenner,1,c,,reality tv,18 244 423
17,beyonce,1,c,,music,14 604 498
18,kendricklamar,1,c,,music,7 197 693
19,austinmahone,1,c,,music,9 622 038
20,bobbyjindal,0,p,Republican,"former Governor of Louisiana, presidential candidate", 243 624 
21,nickiminaj,1,c,,music,20 642 084
22,billclinton,0,p,Democrat,Former President, 6 074 980 
23,travelleisure,0,m,,life,2 659 608
24,corybooker,0,p,Democrat,Senator from New Jersey, 1 811 500 
25,kobebryant,1,c,,athlete,10 767 414
26,arianagrande,1,c,,music,42 217 817
27,tedcruz,0,p,Republican,"Senator from Texas, Presidential Candidate", 1 644 787 
28,tomhanks,1,c,,actor,12 210 302
29,sensanders,0,p,Democrat,Presidential Candidate, 2 611 116 
30,teamcantor,0,p,Republican,Former representative from Virginia, 152 142 
31,lukebryanonline,1,c,,music,7 680 293
32,lindasuhler,0,p,Conservative ,"Twitter activist, retired molecular biologist", 253 116 
33,govwalker,0,p,Republican,Governor of Wisconsin, 161 852 
34,jcolenc,1,c,,music,8 778 803
35,gabbygiffords,0,p,Democrat,Former representative from Arizona, 198 236 
36,thehermancain,0,p,Republican/Tea Party,Presidential Candidate, 391 180 
37,gov,0,m,,twitter,2 274 522
38,katyperry,1,c,,music,93 369 751
39,kdtrey5,1,c,,athlete,15 060 923
40,govchristie,1,p,Republican,Governor of New Jersey, 755 308 
41,reince,0,p,Republican,"Chairman of RNC, appointed chief of staff by Donald Trump", 492 052 
42,victoriajustice,1,c,,actress,9 457 260
43,aplusk,1,c,,actor,17 548 621
44,wsj,0,m,,"news, business",11 961 330
45,joebiden,0,p,Democrat,"VP, former Senator from Delaware", 1 252 999 
46,nickelodeontv,1,m,,tv,3 978 544
47,senatorreid,0,p,Democrat,"Senator from Nevada, minority leader", 363 022 
48,kevinhart4real,1,c,,actor,30 841 367
49,vanityfair,1,m,,"news, entertainment",4 192 283
50,allenwest,0,p,Republican,former representative from Florida, 556 567 
51,ryanseacrest,1,c,,tv host,14 961 338
52,speakerryan,0,p,Republican,"House Speaker, Representative from Wisconsin", 867 047 
53,charliesheen,1,c,,actor,11 668 919
54,natgeophotos,0,m,,life,2 391 940
55,lindsaylohan,1,c,,actress,9 312 088
56,people,1,m,,"news, entertainment",7 374 868
57,mariahcarey,1,c,,music,16 689 205
58,ellemagazine,1,m,,"news, fashion",5 992 669
59,foxnews,0,m,,news,11 238 760
60,kimkardashian,1,c,,reality tv,48 376 187
61,astro_jose,0,p,Democrat,"Former astronaut, candidate for California representative", 411 424 
62,wwd,0,m,,"news, fashion",2 946 016
63,usher,1,c,,music,11 402 470
64,liltunechi,1,c,,music,28 130 664
65,billboard,1,m,,"news, entertainment",4 128 761
66,gavinnewsom,0,p,Democrat,"Lieutenant Governor of California, former Mayor of SF", 1 243 200 
67,jlo,1,c,,music,37 532 371
68,iamdiddy,1,c,,music,11 719 947
69,govmikehuckabee,0,p,Republican,"former governor of Arkansas, former presidential candidate", 498 556 
70,nancypelosi,0,p,Democrat,"House minority leader, Representative from California", 846 510 
71,abc,0,m,,news,7 718 914
72,cbsnews,0,m,,news,4 870 269
73,oprah,1,c,,tv host,34 336 209
74,scottwalker,0,p,Republican,Governor of Wisconsin, 236 624 
75,tmz,1,m,,"news, entertainment",4 245 203
76,randpaul,0,p,Republican,Senator from Kentucky, 907 652 
77,kendalljenner,1,c,,reality tv,19 978 386
