,User,Partition,Type
0,algore,0,p
1,ludacris,0,c
2,chrisbrown,0,c
3,channingtatum,2,c
4,thehill,0,m
5,mashable,0,m
6,leodicaprio,0,c
7,ciara,2,c
8,thereval,1,p
9,newsweek,0,m
10,marcorubio,1,p
11,johnkasich,0,p
12,tgowdysc,0,p
13,freedomworks,0,p
14,sengillibrand,0,p
15,jessicasimpson,0,c
16,kyliejenner,2,c
17,beyonce,0,c
18,kendricklamar,2,c
19,austinmahone,2,c
20,bobbyjindal,1,p
21,nickiminaj,0,c
22,billclinton,1,p
23,travelleisure,0,m
24,corybooker,0,p
25,kobebryant,2,c
26,arianagrande,2,c
27,tedcruz,0,p
28,tomhanks,0,c
29,sensanders,0,p
30,teamcantor,0,p
31,lukebryanonline,2,c
32,lindasuhler,1,p
33,govwalker,0,p
34,jcolenc,0,c
35,gabbygiffords,0,p
36,thehermancain,0,p
37,gov,1,m
38,katyperry,2,c
39,kdtrey5,0,c
40,govchristie,2,p
41,reince,1,p
42,victoriajustice,0,c
43,aplusk,2,c
44,wsj,0,m
45,joebiden,0,p
46,nickelodeontv,0,m
47,senatorreid,0,p
48,kevinhart4real,0,c
49,vanityfair,2,m
50,allenwest,0,p
51,ryanseacrest,2,c
52,speakerryan,0,p
53,charliesheen,2,c
54,natgeophotos,0,m
55,lindsaylohan,2,c
56,people,0,m
57,mariahcarey,2,c
58,ellemagazine,2,m
59,foxnews,0,m
60,kimkardashian,0,c
61,astro_jose,0,p
62,wwd,0,m
63,usher,2,c
64,liltunechi,0,c
65,billboard,0,m
66,gavinnewsom,1,p
67,jlo,2,c
68,iamdiddy,0,c
69,govmikehuckabee,1,p
70,nancypelosi,0,p
71,abc,0,m
72,cbsnews,0,m
73,oprah,2,c
74,scottwalker,1,p
75,tmz,2,m
76,randpaul,0,p
77,kendalljenner,2,c
78,ricksantorum,1,p
79,stephenathome,2,c
80,ronpaul,0,p
81,xtina,2,c
82,repjohnlewis,0,p
83,taylorswift13,2,c
84,jimcarrey,0,c
85,parishilton,2,c
86,gop,1,p
87,speakerboehner,0,p
88,usatoday,0,m
89,hillaryclinton,0,p
90,slate,0,m
91,business,0,m
92,uninoticias,0,m
93,lmfao,0,c
94,nbcnews,0,m
95,univision,2,m
96,elizabethforma,1,p
97,treysongz,2,c
98,stephencurry30,0,c
99,aliciakeys,2,c
100,jerrybrowngov,0,p
101,kelly_clarkson,2,c
102,kasimreed,0,p
103,blakeshelton,2,c
104,hbo,0,m
105,zacefron,0,c
106,potus,0,p
107,donnabrazile,1,p
108,senschumer,0,p
109,stevemartintogo,0,c
110,senwarren,0,p
111,selenagomez,2,c
112,housedemocrats,0,p
113,ddlovato,2,c
114,kanyewest,2,c
115,thr,0,m
116,theellenshow,0,c
117,johnlegend,2,c
118,foramerica,1,p
119,rbreich,0,p
120,marieclaire,1,m
121,mileycyrus,2,c
122,mufihannemann,0,p
123,iamqueenlatifah,2,c
124,johncena,2,c
125,nbaontnt,0,m
126,jimmykimmel,2,c
127,tyrabanks,2,c
128,politico,0,m
129,mirandacosgrove,2,c
130,mindykaling,2,c
131,50cent,2,c
132,kourtneykardash,2,c
133,dwstweets,1,p
134,brunomars,2,c
135,andersoncooper,2,c
136,conanobrien,1,c
137,gadgetlab,0,m
138,iggyazalea,2,c
139,sentedcruz,0,p
140,britneyspears,2,c
141,enews,1,m
142,npr,1,m
143,realdonaldtrump,0,p
144,jtimberlake,2,c
145,actuallynph,2,c
146,darrellissa,0,p
147,washingtonpost,0,m
148,cosmopolitan,0,m
149,khloekardashian,2,c
150,wiredscience,0,m
151,nbatv,0,m
152,dccc,0,p
153,jessicaalba,0,c
154,jebbush,1,p
155,womenshealthmag,0,m
156,karlrove,0,p
157,robertdowneyjr,2,c
158,digg,0,m
159,governorperry,0,p
160,voterocky2016,0,p
161,billgates,0,c
162,sarahpalinusa,1,p
163,whowhatwear,0,m
164,joetrippi,0,p
165,pharrell,2,c
166,ap,0,m
167,sarahksilverman,0,c
168,buzzfeed,0,m
169,fortunemagazine,0,m
170,evalongoria,0,c
171,tyga,0,c
172,azizansari,0,c
173,snoopdogg,0,c
174,iamwill,2,c
175,younghollywood,0,m
176,bw,0,m
177,serenawilliams,2,c
178,newtgingrich,0,p
179,govgaryjohnson,0,p
180,realbencarson,1,p
181,bet,0,m
182,senmikelee,1,p
183,therock,0,c
184,cnbc,0,m
185,thedemocrats,0,p
186,johnkerry,1,p
187,sethmacfarlane,1,c
188,michelebachmann,0,p
189,ericcantor,0,p
190,goodhealth,0,m
191,nbc,0,m
192,shawnmendes,2,c
193,camerondallas,0,c
194,carmeloanthony,2,c
195,cnnmoney,0,m
196,nikkihaley,1,p
197,natgeotravel,0,m
198,rollingstone,0,m
199,pryan,0,p
200,pink,2,c
201,ashleytisdale,2,c
202,joejonas,0,c
203,marcanthony,0,c
204,teenvogue,0,m
205,alfranken,1,p
206,voguemagazine,0,m
207,johnkingated,0,p
208,businessinsider,0,m
209,mittromney,1,p
210,jimdemint,0,p
211,comedycentral,0,m
212,bigsean,2,c
213,latimes,0,m
214,nytimes,0,m
215,krisjenner,2,c
216,jasoninthehouse,0,p
217,kingjames,2,c
218,ladygaga,2,c
219,parenting,1,m
220,ambassadorrice,0,p
221,shaq,2,c
222,wired,0,m
223,newyorker,0,m
224,wizkhalifa,0,c
225,senjohnmccain,0,p
226,timkaine,1,p
227,ericgarcetti,0,p
228,barackobama,0,p
229,davidaxelrod,1,p
230,condoleezzarice,0,p
231,wendydavis,1,p
232,nickjonas,2,c
233,jimmyfallon,2,c
234,justinbieber,2,c
235,sciencechannel,0,m
236,carlyfiorina,1,p
237,berniesanders,0,p
238,pitbull,2,c
239,tppatriots,0,p
240,marvel,0,m
241,chrischristie,1,p
242,ew,0,m
