,User,Partition,Type
0,algore,1,p
1,ludacris,3,c
2,chrisbrown,3,c
3,channingtatum,1,c
4,thehill,1,m
5,mashable,3,m
6,leodicaprio,0,c
7,ciara,1,c
8,thereval,1,p
9,newsweek,1,m
10,marcorubio,0,p
11,johnkasich,1,p
12,tgowdysc,1,p
13,freedomworks,1,p
14,sengillibrand,0,p
15,jessicasimpson,1,c
16,kyliejenner,1,c
17,beyonce,3,c
18,kendricklamar,3,c
19,austinmahone,3,c
20,bobbyjindal,2,p
21,nickiminaj,3,c
22,billclinton,3,p
23,travelleisure,1,m
24,corybooker,1,p
25,kobebryant,3,c
26,arianagrande,3,c
27,tedcruz,2,p
28,tomhanks,3,c
29,sensanders,0,p
30,teamcantor,1,p
31,lukebryanonline,3,c
32,lindasuhler,1,p
33,govwalker,1,p
34,jcolenc,1,c
35,gabbygiffords,1,p
36,thehermancain,1,p
37,gov,0,m
38,katyperry,3,c
39,kdtrey5,3,c
40,govchristie,1,p
41,reince,2,p
42,victoriajustice,1,c
43,aplusk,3,c
44,wsj,1,m
45,joebiden,2,p
46,nickelodeontv,1,m
47,senatorreid,0,p
48,kevinhart4real,3,c
49,vanityfair,3,m
50,allenwest,1,p
51,ryanseacrest,3,c
52,speakerryan,1,p
53,charliesheen,3,c
54,natgeophotos,1,m
55,lindsaylohan,3,c
56,people,3,m
57,mariahcarey,3,c
58,ellemagazine,1,m
59,foxnews,1,m
60,kimkardashian,3,c
61,astro_jose,1,p
62,wwd,1,m
63,usher,3,c
64,liltunechi,1,c
65,billboard,3,m
66,gavinnewsom,1,p
67,jlo,3,c
68,iamdiddy,3,c
69,govmikehuckabee,2,p
70,nancypelosi,0,p
71,abc,1,m
72,cbsnews,1,m
73,oprah,3,c
74,scottwalker,1,p
75,tmz,1,m
76,randpaul,0,p
77,kendalljenner,3,c
78,ricksantorum,1,p
79,stephenathome,3,c
80,ronpaul,1,p
81,xtina,3,c
82,repjohnlewis,1,p
83,taylorswift13,3,c
84,jimcarrey,1,c
85,parishilton,1,c
86,gop,2,p
87,speakerboehner,0,p
88,usatoday,3,m
89,hillaryclinton,1,p
90,slate,0,m
91,business,1,m
92,uninoticias,1,m
93,lmfao,1,c
94,nbcnews,1,m
95,univision,3,m
96,elizabethforma,0,p
97,treysongz,3,c
98,stephencurry30,3,c
