,User,Partition,Type
0,algore,1,p
1,ludacris,1,c
2,chrisbrown,1,c
3,channingtatum,2,c
4,thehill,1,m
5,mashable,1,m
6,leodicaprio,1,c
7,ciara,2,c
8,thereval,0,p
9,newsweek,1,m
10,marcorubio,0,p
11,johnkasich,1,p
12,tgowdysc,1,p
13,freedomworks,1,p
14,sengillibrand,3,p
15,jessicasimpson,1,c
16,kyliejenner,2,c
17,beyonce,1,c
18,kendricklamar,2,c
19,austinmahone,2,c
20,bobbyjindal,0,p
21,nickiminaj,1,c
22,billclinton,0,p
23,travelleisure,1,m
24,corybooker,1,p
25,kobebryant,2,c
26,arianagrande,2,c
27,tedcruz,1,p
28,tomhanks,1,c
29,sensanders,1,p
30,teamcantor,1,p
31,lukebryanonline,2,c
32,lindasuhler,0,p
33,govwalker,1,p
34,jcolenc,1,c
35,gabbygiffords,1,p
36,thehermancain,1,p
37,gov,0,m
38,katyperry,2,c
39,kdtrey5,1,c
40,govchristie,2,p
41,reince,0,p
42,victoriajustice,1,c
43,aplusk,2,c
44,wsj,1,m
45,joebiden,1,p
46,nickelodeontv,1,m
47,senatorreid,1,p
48,kevinhart4real,1,c
49,vanityfair,1,m
50,allenwest,1,p
51,ryanseacrest,2,c
52,speakerryan,1,p
53,charliesheen,2,c
54,natgeophotos,1,m
55,lindsaylohan,2,c
56,people,1,m
57,mariahcarey,2,c
58,ellemagazine,2,m
59,foxnews,1,m
60,kimkardashian,1,c
61,astro_jose,1,p
62,wwd,1,m
63,usher,2,c
64,liltunechi,1,c
65,billboard,1,m
66,gavinnewsom,0,p
67,jlo,2,c
68,iamdiddy,1,c
69,govmikehuckabee,0,p
70,nancypelosi,1,p
71,abc,1,m
72,cbsnews,1,m
73,oprah,2,c
74,scottwalker,0,p
75,tmz,2,m
76,randpaul,1,p
77,kendalljenner,2,c
78,ricksantorum,0,p
79,stephenathome,2,c
80,ronpaul,1,p
81,xtina,2,c
82,repjohnlewis,3,p
83,taylorswift13,2,c
84,jimcarrey,1,c
85,parishilton,2,c
86,gop,0,p
87,speakerboehner,1,p
88,usatoday,2,m
89,hillaryclinton,1,p
90,slate,1,m
91,business,1,m
92,uninoticias,1,m
93,lmfao,1,c
94,nbcnews,1,m
95,univision,2,m
96,elizabethforma,0,p
97,treysongz,2,c
