,User,Partition,Type
0,algore,0,p
1,ludacris,0,c
2,chrisbrown,2,c
3,channingtatum,2,c
4,thehill,0,m
5,mashable,2,m
6,leodicaprio,3,c
7,ciara,2,c
8,thereval,1,p
9,newsweek,0,m
10,marcorubio,1,p
11,johnkasich,0,p
12,tgowdysc,0,p
13,freedomworks,0,p
14,sengillibrand,3,p
15,jessicasimpson,0,c
16,kyliejenner,2,c
17,beyonce,2,c
18,kendricklamar,2,c
19,austinmahone,2,c
20,bobbyjindal,1,p
21,nickiminaj,2,c
22,billclinton,1,p
23,travelleisure,0,m
24,corybooker,0,p
25,kobebryant,2,c
26,arianagrande,2,c
27,tedcruz,1,p
28,tomhanks,2,c
29,sensanders,1,p
30,teamcantor,1,p
31,lukebryanonline,1,c
32,lindasuhler,2,p
33,govwalker,2,p
34,jcolenc,0,c
35,gabbygiffords,3,p
36,thehermancain,2,p
37,gov,0,m
38,katyperry,0,c
39,kdtrey5,1,c
40,govchristie,0,p
41,reince,2,p
42,victoriajustice,0,c
43,aplusk,1,c
44,wsj,1,m
45,joebiden,2,p
46,nickelodeontv,3,m
47,senatorreid,2,p
48,kevinhart4real,2,c
49,vanityfair,0,m
50,allenwest,2,p
51,ryanseacrest,0,c
52,speakerryan,2,p
53,charliesheen,3,c
54,natgeophotos,0,m
55,lindsaylohan,2,c
56,people,2,m
57,mariahcarey,2,c
58,ellemagazine,2,m
59,foxnews,0,m
60,kimkardashian,2,c
61,astro_jose,0,p
62,wwd,0,m
63,usher,2,c
64,liltunechi,0,c
65,billboard,2,m
66,gavinnewsom,0,p
67,jlo,2,c
68,iamdiddy,2,c
69,govmikehuckabee,0,p
70,nancypelosi,1,p
71,abc,3,m
72,cbsnews,0,m
73,oprah,0,c
74,scottwalker,2,p
75,tmz,1,m
76,randpaul,0,p
77,kendalljenner,2,c
78,ricksantorum,2,p
79,stephenathome,1,c
80,ronpaul,2,p
81,xtina,2,c
82,repjohnlewis,2,p
83,taylorswift13,2,c
84,jimcarrey,3,c
85,parishilton,2,c
86,gop,1,p
87,speakerboehner,3,p
88,usatoday,0,m
89,hillaryclinton,2,p
90,slate,1,m
91,business,2,m
92,uninoticias,0,m
93,lmfao,2,c
94,nbcnews,0,m
95,univision,0,m
96,elizabethforma,2,p
97,treysongz,1,c
98,stephencurry30,2,c
99,aliciakeys,2,c
100,jerrybrowngov,2,p
101,kelly_clarkson,0,c
102,kasimreed,2,p
103,blakeshelton,0,c
104,hbo,2,m
105,zacefron,0,c
106,potus,2,p
107,donnabrazile,1,p
108,senschumer,1,p
109,stevemartintogo,3,c
110,senwarren,0,p
111,selenagomez,2,c
112,housedemocrats,0,p
113,ddlovato,2,c
114,kanyewest,2,c
115,thr,2,m
116,theellenshow,2,c
117,johnlegend,1,c
118,foramerica,0,p
119,rbreich,2,p
120,marieclaire,2,m
121,mileycyrus,2,c
122,mufihannemann,2,p
123,iamqueenlatifah,3,c
124,johncena,2,c
125,nbaontnt,0,m
126,jimmykimmel,0,c
127,tyrabanks,2,c
128,politico,2,m
129,mirandacosgrove,0,c
130,mindykaling,0,c
131,50cent,0,c
132,kourtneykardash,2,c
133,dwstweets,2,p
134,brunomars,1,c
135,andersoncooper,2,c
136,conanobrien,2,c
137,gadgetlab,0,m
138,iggyazalea,0,c
139,sentedcruz,0,p
140,britneyspears,0,c
141,enews,2,m
142,npr,1,m
143,realdonaldtrump,1,p
144,jtimberlake,2,c
145,actuallynph,0,c
146,darrellissa,0,p
147,washingtonpost,0,m
148,cosmopolitan,2,m
149,khloekardashian,0,c
150,wiredscience,0,m
151,nbatv,0,m
152,dccc,2,p
153,jessicaalba,1,c
154,jebbush,0,p
155,womenshealthmag,0,m
156,karlrove,0,p
157,robertdowneyjr,0,c
158,digg,1,m
159,governorperry,0,p
160,voterocky2016,0,p
161,billgates,2,c
162,sarahpalinusa,1,p
163,whowhatwear,2,m
164,joetrippi,2,p
165,pharrell,2,c
166,ap,2,m
167,sarahksilverman,2,c
168,buzzfeed,2,m
169,fortunemagazine,2,m
170,evalongoria,2,c
171,tyga,2,c
172,azizansari,2,c
173,snoopdogg,0,c
174,iamwill,2,c
175,younghollywood,0,m
176,bw,0,m
177,serenawilliams,0,c
178,newtgingrich,0,p
179,govgaryjohnson,0,p
180,realbencarson,2,p
181,bet,0,m
182,senmikelee,0,p
183,therock,0,c
184,cnbc,1,m
185,thedemocrats,2,p
186,johnkerry,3,p
187,sethmacfarlane,0,c
188,michelebachmann,2,p
189,ericcantor,0,p
190,goodhealth,0,m
191,nbc,2,m
192,shawnmendes,2,c
193,camerondallas,2,c
194,carmeloanthony,0,c
195,cnnmoney,2,m
196,nikkihaley,2,p
197,natgeotravel,0,m
198,rollingstone,2,m
199,pryan,2,p
200,pink,2,c
201,ashleytisdale,2,c
202,joejonas,2,c
203,marcanthony,3,c
204,teenvogue,2,m
205,alfranken,0,p
206,voguemagazine,2,m
207,johnkingated,1,p
208,businessinsider,3,m
209,mittromney,2,p
210,jimdemint,2,p
211,comedycentral,3,m
212,bigsean,0,c
213,latimes,3,m
214,nytimes,0,m
215,krisjenner,0,c
216,jasoninthehouse,2,p
217,kingjames,2,c
218,ladygaga,1,c
219,parenting,0,m
220,ambassadorrice,0,p
221,shaq,0,c
222,wired,0,m
223,newyorker,2,m
224,wizkhalifa,3,c
225,senjohnmccain,0,p
226,timkaine,0,p
227,ericgarcetti,0,p
228,barackobama,0,p
229,davidaxelrod,1,p
230,condoleezzarice,2,p
231,wendydavis,1,p
232,nickjonas,2,c
233,jimmyfallon,2,c
234,justinbieber,1,c
235,sciencechannel,3,m
236,carlyfiorina,0,p
237,berniesanders,1,p
238,pitbull,2,c
239,tppatriots,2,p
240,marvel,0,m
241,chrischristie,0,p
242,ew,0,m
