,User,Partition,Type
0,algore,0,p
1,jlo,2,c
2,ludacris,2,c
3,chrisbrown,2,c
4,channingtatum,1,c
5,thehill,0,m
6,mashable,2,m
7,leodicaprio,1,c
8,borisjohnson,0,p
9,ciara,2,c
10,thereval,1,p
11,newsweek,0,m
12,marcorubio,0,p
13,johnkasich,0,p
14,tgowdysc,0,p
15,johnemichel,1,p
16,freedomworks,0,p
17,sengillibrand,0,p
18,jessicasimpson,1,c
19,kyliejenner,2,c
20,kendricklamar,1,c
21,austinmahone,2,c
22,bobbyjindal,0,p
23,salahitareq,1,p
24,nickiminaj,2,c
25,nytimesworld,0,m
26,billclinton,0,p
27,techcrunch,1,m
28,foxsports,0,m
29,travelleisure,1,m
30,corybooker,0,p
31,kobebryant,2,c
32,nasahqphoto,1,p
33,arianagrande,2,c
34,tedcruz,0,p
35,sensanders,0,p
36,lukebryanonline,1,c
37,lindasuhler,1,p
38,carlyfiorina,0,p
39,comedycentral,1,m
40,jcolenc,1,c
41,fastcompany,2,m
42,kdtrey5,1,c
43,gabbygiffords,0,p
44,thehermancain,0,p
45,jimcarrey,1,c
46,katyperry,2,c
47,pharrell,2,c
48,pbs,1,m
49,marketwatch,1,m
50,reince,0,p
51,vanityfair,2,m
52,aplusk,1,c
53,wsj,0,m
54,joebiden,0,p
55,lagarde,0,p
56,nikkihaley,0,p
57,mcfaul,0,p
58,nickelodeontv,1,m
59,senatorreid,0,p
60,kevinhart4real,2,c
61,victoriajustice,2,c
62,ryanseacrest,2,c
63,speakerryan,0,p
64,charliesheen,1,c
65,parentsmagazine,1,m
66,natgeophotos,1,m
67,jimmykimmel,2,c
68,nytimesarts,1,m
69,people,2,m
70,mariahcarey,1,c
71,ellemagazine,2,m
72,foxnews,0,m
73,kimkardashian,2,c
74,astro_jose,1,p
75,wwd,2,m
76,usher,2,c
77,thenextweb,0,m
78,liltunechi,1,c
79,billboard,2,m
80,gavinnewsom,0,p
81,rollingstone,2,m
82,iamdiddy,2,c
83,cnni,0,m
84,govmikehuckabee,0,p
85,nancypelosi,0,p
86,espnstatsinfo,1,m
87,abc,0,m
88,cbsnews,0,m
89,oprah,2,c
90,natgeotravel,1,m
91,harvardbiz,1,m
92,tmz,1,m
93,randpaul,0,p
94,kendalljenner,2,c
95,xtina,2,c
96,ricksantorum,1,p
97,govchristie,1,p
98,stephenathome,1,c
99,ronpaul,1,p
100,nytimesbooks,1,m
101,taylorswift13,2,c
102,sciam,1,m
103,gov,0,m
104,parishilton,2,c
105,gop,0,p
106,speakerboehner,0,p
107,discovery,1,m
108,usatoday,0,m
109,billpostmus,0,p
110,hillaryclinton,0,p
111,slate,0,m
112,twitterapi,0,m
113,business,0,m
114,mirandacosgrove,1,c
115,lmfao,1,c
116,nbcnews,0,m
117,univision,1,m
118,elizabethforma,0,p
119,treysongz,1,c
120,eminem,1,c
121,bw,1,m
122,aliciakeys,2,c
123,jerrybrowngov,1,p
124,kelly_clarkson,2,c
125,kasimreed,1,p
126,usweekly,2,m
127,blakeshelton,2,c
128,hbo,2,m
129,zacefron,1,c
130,potus,0,p
131,donnabrazile,0,p
132,senschumer,1,p
133,nprpolitics,0,m
134,stevemartintogo,1,c
135,senwarren,0,p
136,whowhatwear,1,m
137,housedemocrats,0,p
138,ddlovato,2,c
139,kanyewest,2,c
140,theellenshow,2,c
141,actuallynph,1,c
142,johnlegend,2,c
143,realsimple,1,m
144,foramerica,0,p
145,rbreich,0,p
146,marieclaire,2,m
147,therock,2,c
148,mileycyrus,1,c
149,repronpaul,1,p
150,mufihannemann,1,p
151,iamqueenlatifah,1,c
152,johncena,1,c
153,entrepreneur,1,m
154,joejonas,1,c
155,nbaontnt,1,m
156,esquirenetwork,1,m
157,carmeloanthony,1,c
158,tyrabanks,2,c
159,johnkerry,1,p
160,danieltosh,1,c
