,User,Partition,Type
0,algore,1,p
1,jlo,2,c
2,ludacris,2,c
3,chrisbrown,2,c
4,channingtatum,0,c
5,thehill,1,m
6,mashable,2,m
7,leodicaprio,0,c
8,borisjohnson,1,p
9,ciara,2,c
10,thereval,0,p
11,newsweek,1,m
12,marcorubio,1,p
13,johnkasich,1,p
14,tgowdysc,1,p
15,johnemichel,0,p
16,freedomworks,1,p
17,sengillibrand,1,p
18,jessicasimpson,0,c
19,kyliejenner,2,c
20,kendricklamar,0,c
21,austinmahone,2,c
22,bobbyjindal,1,p
23,salahitareq,0,p
24,nickiminaj,2,c
25,nytimesworld,0,m
26,billclinton,1,p
27,techcrunch,0,m
28,foxsports,1,m
29,travelleisure,0,m
30,corybooker,1,p
31,kobebryant,2,c
32,nasahqphoto,0,p
33,arianagrande,2,c
34,tedcruz,1,p
35,sensanders,0,p
36,lukebryanonline,0,c
37,lindasuhler,0,p
38,carlyfiorina,1,p
39,comedycentral,0,m
40,jcolenc,0,c
41,fastcompany,2,m
42,kdtrey5,0,c
43,gabbygiffords,1,p
44,thehermancain,0,p
45,jimcarrey,0,c
46,katyperry,2,c
47,pharrell,2,c
48,pbs,0,m
49,marketwatch,0,m
50,reince,0,p
51,vanityfair,2,m
52,aplusk,0,c
53,wsj,1,m
54,joebiden,1,p
55,lagarde,1,p
56,nikkihaley,1,p
57,mcfaul,1,p
58,nickelodeontv,0,m
59,senatorreid,1,p
60,kevinhart4real,2,c
61,victoriajustice,2,c
62,ryanseacrest,2,c
63,speakerryan,1,p
64,charliesheen,0,c
65,parentsmagazine,0,m
66,natgeophotos,0,m
67,jimmykimmel,2,c
68,nytimesarts,0,m
69,people,2,m
70,mariahcarey,0,c
71,ellemagazine,0,m
72,foxnews,1,m
73,kimkardashian,2,c
74,astro_jose,0,p
75,wwd,2,m
76,usher,2,c
77,thenextweb,1,m
78,liltunechi,0,c
79,billboard,2,m
80,gavinnewsom,1,p
81,rollingstone,2,m
82,iamdiddy,2,c
83,cnni,0,m
84,govmikehuckabee,1,p
85,nancypelosi,0,p
86,espnstatsinfo,1,m
87,abc,1,m
88,cbsnews,1,m
89,oprah,1,c
90,natgeotravel,0,m
91,harvardbiz,0,m
92,tmz,0,m
93,randpaul,1,p
94,kendalljenner,2,c
95,xtina,2,c
96,ricksantorum,0,p
97,govchristie,0,p
98,stephenathome,1,c
99,ronpaul,0,p
100,nytimesbooks,0,m
101,taylorswift13,2,c
102,sciam,0,m
103,gov,1,m
104,parishilton,2,c
105,gop,1,p
106,speakerboehner,1,p
107,discovery,0,m
108,usatoday,1,m
109,billpostmus,1,p
110,hillaryclinton,0,p
111,slate,1,m
112,twitterapi,1,m
113,business,0,m
114,mirandacosgrove,0,c
115,lmfao,0,c
116,nbcnews,1,m
117,univision,0,m
118,elizabethforma,1,p
119,treysongz,0,c
120,eminem,0,c
121,bw,0,m
122,aliciakeys,2,c
123,jerrybrowngov,0,p
124,kelly_clarkson,2,c
125,kasimreed,0,p
126,usweekly,2,m
127,blakeshelton,2,c
128,hbo,0,m
129,zacefron,0,c
130,potus,1,p
131,donnabrazile,1,p
132,senschumer,0,p
133,nprpolitics,0,m
134,stevemartintogo,1,c
135,senwarren,1,p
136,whowhatwear,2,m
137,housedemocrats,0,p
138,ddlovato,2,c
139,kanyewest,2,c
140,theellenshow,2,c
141,actuallynph,0,c
142,johnlegend,2,c
143,realsimple,0,m
144,foramerica,1,p
145,rbreich,1,p
146,marieclaire,2,m
147,therock,0,c
148,mileycyrus,0,c
149,repronpaul,0,p
150,mufihannemann,0,p
151,iamqueenlatifah,0,c
152,johncena,0,c
153,entrepreneur,0,m
154,joejonas,2,c
155,nbaontnt,0,m
156,esquirenetwork,0,m
157,carmeloanthony,0,c
158,tyrabanks,2,c
159,johnkerry,0,p
160,danieltosh,0,c
161,uninoticias,0,m
162,mindykaling,2,c
163,50cent,2,c
164,kourtneykardash,2,c
165,georgehwbush,0,p
166,dwstweets,0,p
167,brunomars,0,c
168,andersoncooper,0,c
169,conanobrien,0,c
170,teamcantor,0,p
171,iggyazalea,2,c
172,sentedcruz,1,p
173,britneyspears,2,c
174,enews,2,m
175,npr,0,m
176,realdonaldtrump,1,p
177,tyga,0,c
178,gadgetlab,0,m
179,darrellissa,1,p
180,ericcantor,0,p
181,cosmopolitan,2,m
182,khloekardashian,2,c
183,wiredscience,0,m
184,nbatv,0,m
185,dccc,0,p
186,jessicaalba,2,c
187,jebbush,1,p
188,businessinsider,1,m
189,womenshealthmag,0,m
190,karlrove,0,p
191,condoleezzarice,0,p
192,nbc,2,m
193,digg,0,m
194,governorperry,1,p
195,billgates,2,c
196,sarahpalinusa,0,p
197,joetrippi,0,p
198,ew,2,m
199,foodandwine,0,m
200,sarahksilverman,2,c
201,buzzfeed,2,m
202,fortunemagazine,0,m
203,evalongoria,2,c
204,jtimberlake,2,c
205,azizansari,0,c
206,camerondallas,0,c
207,iamwill,0,c
208,younghollywood,0,m
209,serenawilliams,0,c
210,newtgingrich,1,p
211,govgaryjohnson,0,p
212,cntraveler,2,m
213,bet,2,m
214,history,0,m
215,senmikelee,1,p
216,ladygaga,2,c
217,cnbc,1,m
218,thedemocrats,0,p
219,politico,1,m
220,govwalker,0,p
221,sethmacfarlane,0,c
222,marcanthony,0,c
223,michelebachmann,0,p
224,washingtonpost,1,m
225,thr,2,m
226,travelchannel,0,m
227,ap,1,m
228,shawnmendes,2,c
