,User,Partition,Type
0,algore,0,p
1,jlo,1,c
2,ludacris,1,c
3,chrisbrown,1,c
4,channingtatum,1,c
5,thehill,1,m
6,mashable,1,m
7,leodicaprio,0,c
8,borisjohnson,1,p
9,ciara,1,c
10,thereval,0,p
11,newsweek,0,m
12,marcorubio,2,p
13,johnkasich,2,p
14,tgowdysc,1,p
15,johnemichel,2,p
16,freedomworks,1,p
17,sengillibrand,0,p
18,jessicasimpson,1,c
19,kyliejenner,1,c
20,kendricklamar,1,c
21,austinmahone,1,c
22,bobbyjindal,2,p
23,salahitareq,1,p
24,nickiminaj,1,c
25,nytimesworld,1,m
26,billclinton,0,p
27,techcrunch,1,m
28,foxsports,1,m
29,travelleisure,1,m
30,corybooker,0,p
31,kobebryant,1,c
32,nasahqphoto,1,p
33,arianagrande,1,c
34,tedcruz,2,p
35,sensanders,1,p
36,lukebryanonline,1,c
37,lindasuhler,2,p
38,carlyfiorina,2,p
39,comedycentral,1,m
40,jcolenc,1,c
41,fastcompany,1,m
42,kdtrey5,1,c
43,gabbygiffords,0,p
44,thehermancain,2,p
45,jimcarrey,1,c
46,katyperry,0,c
47,pharrell,1,c
48,pbs,1,m
49,marketwatch,1,m
50,reince,1,p
51,vanityfair,1,m
52,aplusk,1,c
53,wsj,1,m
54,joebiden,1,p
55,lagarde,1,p
56,nikkihaley,1,p
57,mcfaul,1,p
58,nickelodeontv,1,m
59,senatorreid,1,p
60,kevinhart4real,1,c
61,victoriajustice,1,c
62,ryanseacrest,1,c
63,speakerryan,2,p
64,charliesheen,1,c
65,parentsmagazine,1,m
66,natgeophotos,1,m
67,jimmykimmel,1,c
68,nytimesarts,1,m
69,people,1,m
70,mariahcarey,1,c
71,ellemagazine,1,m
72,foxnews,1,m
73,kimkardashian,1,c
74,astro_jose,1,p
75,wwd,1,m
76,usher,1,c
77,thenextweb,1,m
78,liltunechi,1,c
79,billboard,1,m
80,gavinnewsom,0,p
81,rollingstone,1,m
82,iamdiddy,1,c
83,cnni,1,m
84,govmikehuckabee,2,p
85,nancypelosi,1,p
86,espnstatsinfo,1,m
87,abc,1,m
88,cbsnews,1,m
89,oprah,1,c
90,natgeotravel,1,m
91,harvardbiz,1,m
92,tmz,1,m
93,randpaul,2,p
94,kendalljenner,1,c
95,xtina,1,c
96,ricksantorum,2,p
97,govchristie,2,p
98,stephenathome,1,c
99,ronpaul,1,p
100,nytimesbooks,1,m
101,taylorswift13,1,c
102,sciam,1,m
103,gov,0,m
104,parishilton,1,c
105,gop,1,p
106,speakerboehner,2,p
107,discovery,1,m
108,usatoday,1,m
109,billpostmus,2,p
110,hillaryclinton,1,p
111,slate,0,m
112,twitterapi,1,m
113,business,1,m
114,mirandacosgrove,1,c
115,lmfao,1,c
116,nbcnews,1,m
117,univision,1,m
118,elizabethforma,0,p
119,treysongz,1,c
120,eminem,1,c
121,bw,1,m
122,aliciakeys,1,c
123,jerrybrowngov,1,p
124,kelly_clarkson,1,c
125,kasimreed,0,p
126,usweekly,1,m
127,blakeshelton,1,c
128,hbo,1,m
129,zacefron,1,c
130,potus,1,p
131,donnabrazile,0,p
132,senschumer,1,p
133,nprpolitics,1,m
134,stevemartintogo,1,c
135,senwarren,1,p
136,whowhatwear,1,m
137,housedemocrats,1,p
138,ddlovato,0,c
139,kanyewest,1,c
140,theellenshow,0,c
141,actuallynph,1,c
142,johnlegend,0,c
143,realsimple,1,m
144,foramerica,2,p
145,rbreich,1,p
146,marieclaire,1,m
147,therock,1,c
148,mileycyrus,1,c
149,repronpaul,1,p
150,mufihannemann,1,p
151,iamqueenlatifah,1,c
152,johncena,1,c
153,entrepreneur,1,m
154,joejonas,1,c
155,nbaontnt,1,m
156,esquirenetwork,1,m
157,carmeloanthony,1,c
158,tyrabanks,1,c
159,johnkerry,1,p
160,danieltosh,1,c
161,uninoticias,1,m
162,mindykaling,1,c
163,50cent,1,c
164,kourtneykardash,1,c
165,georgehwbush,1,p
166,dwstweets,1,p
167,brunomars,1,c
168,andersoncooper,1,c
169,conanobrien,1,c
170,teamcantor,1,p
171,iggyazalea,1,c
172,sentedcruz,2,p
173,britneyspears,1,c
174,enews,1,m
175,npr,1,m
176,realdonaldtrump,1,p
177,tyga,1,c
178,gadgetlab,1,m
179,darrellissa,2,p
180,ericcantor,1,p
181,cosmopolitan,1,m
182,khloekardashian,1,c
183,wiredscience,1,m
184,nbatv,1,m
185,dccc,1,p
186,jessicaalba,1,c
187,jebbush,2,p
188,businessinsider,1,m
189,womenshealthmag,1,m
190,karlrove,2,p
191,condoleezzarice,1,p
192,nbc,1,m
193,digg,1,m
194,governorperry,2,p
195,billgates,1,c
196,sarahpalinusa,1,p
197,joetrippi,0,p
198,ew,1,m
199,foodandwine,1,m
200,sarahksilverman,1,c
201,buzzfeed,1,m
202,fortunemagazine,1,m
203,evalongoria,0,c
204,jtimberlake,1,c
205,azizansari,1,c
206,camerondallas,1,c
207,iamwill,0,c
208,younghollywood,1,m
209,serenawilliams,1,c
210,newtgingrich,2,p
211,govgaryjohnson,2,p
212,cntraveler,1,m
213,bet,1,m
214,history,1,m
215,senmikelee,1,p
216,ladygaga,1,c
217,cnbc,1,m
218,thedemocrats,0,p
219,politico,1,m
220,govwalker,1,p
221,sethmacfarlane,1,c
222,marcanthony,1,c
223,michelebachmann,2,p
224,washingtonpost,1,m
225,thr,1,m
226,travelchannel,1,m
227,ap,1,m
228,shawnmendes,1,c
229,snoopdogg,1,c
230,latimes,1,m
231,tmagazine,1,m
232,cnnmoney,1,m
233,voguemagazine,1,m
234,sai,1,m
235,inc,1,m
236,pink,1,c
237,ashleytisdale,1,c
238,shaq,1,c
239,stephencurry30,1,c
240,repjohnlewis,1,p
241,teenvogue,0,m
242,menshealthmag,1,m
243,alfranken,1,p
244,johnkingated,1,p
245,selenagomez,1,c
246,goodhealth,1,m
247,mittromney,1,p
248,jimdemint,1,p
249,realbencarson,2,p
250,massgovernor,1,p
251,pryan,1,p
252,bigsean,1,c
253,theatlantic,1,m
254,nytimes,1,m
255,krisjenner,1,c
256,jasoninthehouse,2,p
257,sciencechannel,1,m
258,kingjames,1,c
259,espndeportes,1,m
260,madam_president,0,p
261,parenting,1,m
262,ambassadorrice,1,p
263,newyorker,0,m
264,wired,1,m
265,wizkhalifa,1,c
266,senjohnmccain,2,p
267,weatherchannel,1,m
268,timkaine,0,p
269,ericgarcetti,1,p
270,barackobama,1,p
271,davidaxelrod,1,p
272,lindsaylohan,1,c
273,robertdowneyjr,1,c
274,wendydavis,0,p
275,nflnetwork,1,m
276,nickjonas,1,c
277,life,1,m
278,jimmyfallon,1,c
279,jeffarazzi,1,p
280,chrischristie,2,p
281,justinbieber,1,c
282,scottwalker,1,p
283,preetbharara,1,p
284,berniesanders,0,p
285,pitbull,1,c
286,tppatriots,1,p
