,User,Partition,Type
0,algore,2,p
1,jlo,1,c
2,ludacris,1,c
3,chrisbrown,1,c
4,channingtatum,3,c
5,thehill,3,m
6,mashable,0,m
7,leodicaprio,2,c
8,borisjohnson,0,p
9,ciara,1,c
10,thereval,0,p
11,newsweek,2,m
12,marcorubio,2,p
13,johnkasich,3,p
14,tgowdysc,3,p
15,johnemichel,3,p
16,freedomworks,0,p
17,sengillibrand,2,p
18,jessicasimpson,0,c
19,kyliejenner,1,c
20,kendricklamar,0,c
21,austinmahone,1,c
22,bobbyjindal,3,p
23,salahitareq,1,p
24,nickiminaj,2,c
25,nytimesworld,2,m
26,billclinton,0,p
27,techcrunch,2,m
28,foxsports,0,m
29,travelleisure,2,m
30,corybooker,1,p
31,kobebryant,2,c
32,nasahqphoto,0,p
33,arianagrande,1,c
34,tedcruz,3,p
35,sensanders,2,p
36,lukebryanonline,0,c
37,lindasuhler,3,p
38,carlyfiorina,3,p
39,comedycentral,0,m
40,jcolenc,0,c
41,fastcompany,0,m
42,kdtrey5,1,c
43,gabbygiffords,3,p
44,thehermancain,3,p
45,jimcarrey,1,c
46,katyperry,0,c
47,pharrell,0,c
48,pbs,3,m
49,marketwatch,0,m
50,reince,0,p
51,vanityfair,3,m
52,aplusk,2,c
53,wsj,0,m
54,joebiden,2,p
55,lagarde,3,p
56,nikkihaley,1,p
57,mcfaul,2,p
58,nickelodeontv,1,m
59,senatorreid,1,p
60,kevinhart4real,1,c
61,victoriajustice,3,c
62,ryanseacrest,0,c
63,speakerryan,0,p
64,charliesheen,0,c
65,parentsmagazine,1,m
66,natgeophotos,0,m
67,jimmykimmel,1,c
68,nytimesarts,1,m
69,people,1,m
70,mariahcarey,3,c
71,ellemagazine,1,m
72,foxnews,0,m
73,kimkardashian,1,c
74,astro_jose,1,p
75,wwd,0,m
76,usher,0,c
77,thenextweb,1,m
78,liltunechi,2,c
79,billboard,1,m
80,gavinnewsom,1,p
81,rollingstone,0,m
82,iamdiddy,3,c
83,cnni,2,m
84,govmikehuckabee,2,p
85,nancypelosi,2,p
86,espnstatsinfo,2,m
87,abc,1,m
88,cbsnews,0,m
89,oprah,0,c
90,natgeotravel,0,m
91,harvardbiz,1,m
92,tmz,1,m
93,randpaul,3,p
94,kendalljenner,0,c
95,xtina,0,c
96,ricksantorum,0,p
97,govchristie,2,p
98,stephenathome,1,c
99,ronpaul,0,p
100,nytimesbooks,1,m
101,taylorswift13,0,c
102,sciam,1,m
103,gov,3,m
104,parishilton,3,c
105,gop,0,p
106,speakerboehner,2,p
107,discovery,3,m
108,usatoday,2,m
109,billpostmus,0,p
110,hillaryclinton,2,p
111,slate,0,m
112,twitterapi,0,m
113,business,0,m
114,mirandacosgrove,0,c
115,lmfao,2,c
116,nbcnews,1,m
117,univision,0,m
118,elizabethforma,3,p
119,treysongz,0,c
120,eminem,1,c
121,bw,2,m
122,aliciakeys,1,c
123,jerrybrowngov,2,p
124,kelly_clarkson,1,c
125,kasimreed,1,p
126,usweekly,1,m
127,blakeshelton,1,c
128,hbo,1,m
129,zacefron,0,c
130,potus,2,p
131,donnabrazile,2,p
132,senschumer,2,p
133,nprpolitics,2,m
134,stevemartintogo,0,c
135,senwarren,2,p
136,whowhatwear,1,m
137,housedemocrats,1,p
138,ddlovato,0,c
139,kanyewest,1,c
140,theellenshow,0,c
141,actuallynph,2,c
142,johnlegend,0,c
143,realsimple,3,m
144,foramerica,2,p
145,rbreich,0,p
146,marieclaire,1,m
147,therock,1,c
148,mileycyrus,1,c
149,repronpaul,0,p
150,mufihannemann,0,p
151,iamqueenlatifah,1,c
152,johncena,2,c
153,entrepreneur,0,m
154,joejonas,0,c
155,nbaontnt,1,m
156,esquirenetwork,1,m
157,carmeloanthony,2,c
158,tyrabanks,1,c
159,johnkerry,1,p
160,danieltosh,1,c
161,uninoticias,1,m
162,mindykaling,1,c
163,50cent,0,c
164,kourtneykardash,1,c
165,georgehwbush,1,p
166,dwstweets,2,p
167,brunomars,0,c
168,andersoncooper,3,c
169,conanobrien,0,c
170,teamcantor,3,p
171,iggyazalea,1,c
172,sentedcruz,1,p
173,britneyspears,0,c
174,enews,3,m
175,npr,1,m
176,realdonaldtrump,3,p
177,tyga,0,c
178,gadgetlab,3,m
179,darrellissa,3,p
180,ericcantor,1,p
181,cosmopolitan,1,m
182,khloekardashian,0,c
183,wiredscience,0,m
184,nbatv,1,m
185,dccc,3,p
186,jessicaalba,0,c
187,jebbush,3,p
188,businessinsider,1,m
189,womenshealthmag,0,m
190,karlrove,3,p
191,condoleezzarice,0,p
192,nbc,3,m
193,digg,1,m
194,governorperry,0,p
195,billgates,2,c
196,sarahpalinusa,1,p
197,joetrippi,1,p
198,ew,0,m
199,foodandwine,1,m
200,sarahksilverman,1,c
201,buzzfeed,1,m
202,fortunemagazine,1,m
203,evalongoria,1,c
204,jtimberlake,1,c
205,azizansari,0,c
206,camerondallas,3,c
207,iamwill,3,c
208,younghollywood,2,m
209,serenawilliams,1,c
210,newtgingrich,0,p
211,govgaryjohnson,3,p
212,cntraveler,0,m
213,bet,3,m
214,history,2,m
215,senmikelee,0,p
216,ladygaga,0,c
217,cnbc,3,m
218,thedemocrats,0,p
219,politico,2,m
220,govwalker,0,p
221,sethmacfarlane,0,c
222,marcanthony,1,c
223,michelebachmann,1,p
224,washingtonpost,0,m
225,thr,0,m
226,travelchannel,0,m
227,ap,1,m
