,User,Partition,Type
0,algore,2,p
1,jlo,3,c
2,ludacris,0,c
3,chrisbrown,3,c
4,channingtatum,3,c
5,thehill,2,m
6,mashable,0,m
7,leodicaprio,0,c
8,borisjohnson,0,p
9,ciara,3,c
10,thereval,0,p
11,newsweek,2,m
12,marcorubio,1,p
13,johnkasich,1,p
14,tgowdysc,0,p
15,johnemichel,1,p
16,freedomworks,0,p
17,sengillibrand,2,p
18,jessicasimpson,0,c
19,kyliejenner,3,c
20,kendricklamar,0,c
21,austinmahone,3,c
22,bobbyjindal,1,p
23,salahitareq,0,p
24,nickiminaj,3,c
25,nytimesworld,0,m
26,billclinton,2,p
27,techcrunch,0,m
28,foxsports,2,m
29,travelleisure,0,m
30,corybooker,2,p
31,kobebryant,0,c
32,nasahqphoto,0,p
33,arianagrande,3,c
34,tedcruz,1,p
35,sensanders,0,p
36,lukebryanonline,3,c
37,lindasuhler,1,p
38,carlyfiorina,0,p
39,comedycentral,0,m
40,jcolenc,0,c
41,fastcompany,0,m
42,kdtrey5,0,c
43,gabbygiffords,2,p
44,thehermancain,1,p
45,jimcarrey,0,c
46,katyperry,3,c
47,pharrell,3,c
48,pbs,0,m
49,marketwatch,0,m
50,reince,0,p
51,vanityfair,0,m
52,aplusk,0,c
53,wsj,2,m
54,joebiden,0,p
55,lagarde,0,p
56,nikkihaley,0,p
57,mcfaul,0,p
58,nickelodeontv,3,m
59,senatorreid,2,p
60,kevinhart4real,3,c
61,victoriajustice,3,c
62,ryanseacrest,3,c
63,speakerryan,1,p
64,charliesheen,0,c
65,parentsmagazine,0,m
66,natgeophotos,0,m
67,jimmykimmel,3,c
68,nytimesarts,0,m
69,people,3,m
70,mariahcarey,3,c
71,ellemagazine,0,m
72,foxnews,0,m
73,kimkardashian,3,c
74,astro_jose,0,p
75,wwd,3,m
76,usher,3,c
77,thenextweb,2,m
78,liltunechi,0,c
79,billboard,3,m
80,gavinnewsom,2,p
81,rollingstone,3,m
82,iamdiddy,3,c
83,cnni,0,m
84,govmikehuckabee,1,p
85,nancypelosi,0,p
86,espnstatsinfo,2,m
87,abc,2,m
88,cbsnews,2,m
