account_name,username,following_num,followers_num
BarackObama,Barack Obama ,Followings 633 894 ,Followers 77 884 582 
realDonaldTrump,Donald J. Trump ,Followings 41 ,Followers 12 227 110 
POTUS,President Obama ,Followings 72 ,Followers 10 681 955 
HillaryClinton,Hillary Clinton ,Followings 758 ,Followers 9 536 475 
billclinton,Bill Clinton ,Followings 26 ,Followers 6 074 980 
BernieSanders,Bernie Sanders ,Followings 1 506 ,Followers 3 615 183 
algore,Al Gore ,Followings 28 ,Followers 2 987 044 
SenSanders,Bernie Sanders ,Followings 1 966 ,Followers 2 611 116 
nasahqphoto,NASA HQ PHOTO ,Followings 122 ,Followers 2 367 358 
RealBenCarson,Dr. Ben Carson ,Followings 34 ,Followers 2 168 028 
SenJohnMcCain,John McCain ,Followings 377 ,Followers 2 041 502 
JohnKerry,John Kerry ,Followings 542 ,Followers 1 960 269 
CoryBooker,Cory Booker ,Followings 90 029 ,Followers 1 811 500 
MittRomney,Mitt Romney ,Followings 299 ,Followers 1 804 714 
newtgingrich,Newt Gingrich ,Followings 874 ,Followers 1 673 001 
tedcruz,Ted Cruz ,Followings 13 694 ,Followers 1 644 787 
marcorubio,Marco Rubio ,Followings 2 471 ,Followers 1 614 541 
SpeakerBoehner,John Boehner ,Followings 7 540 ,Followers 1 294 929 
SarahPalinUSA,Sarah Palin ,Followings 137 ,Followers 1 290 672 
JoeBiden,Joe Biden ,Followings 9 ,Followers 1 252 999 
GavinNewsom,Gavin Newsom ,Followings 24 333 ,Followers 1 243 200 
JerryBrownGov,Jerry Brown ,Followings 30 ,Followers 1 059 706 
SenWarren,Elizabeth Warren ,Followings 254 ,Followers 965 964 
JoeTrippi,Joe Trippi ,Followings 3 489 ,Followers 960 136 
RandPaul,Dr. Rand Paul ,Followings 460 ,Followers 907 652 
GOP,GOP ,Followings 1 656 ,Followers 868 567 
SpeakerRyan,Paul Ryan ,Followings 154 ,Followers 867 047 
NancyPelosi,Nancy Pelosi ,Followings 322 ,Followers 846 510 
SenTedCruz,Senator Ted Cruz ,Followings 7 437 ,Followers 803 738 
JebBush,Jeb Bush ,Followings 264 ,Followers 762 211 
elizabethforma,Elizabeth Warren ,Followings 297 ,Followers 761 098 
GovChristie,Governor Christie ,Followings 611 ,Followers 755 308 
PRyan,Paul Ryan ,Followings 102 ,Followers 751 219 
CarlyFiorina,Carly Fiorina ,Followings 735 ,Followers 700 707 
TheDemocrats,The Democrats ,Followings 1 108 ,Followers 679 121 
BilldeBlasio,Bill de Blasio ,Followings 780 ,Followers 655 619 
KarlRove,Karl Rove ,Followings 143 351 ,Followers 654 349 
RonPaul,Ron Paul ,Followings 178 ,Followers 596 749 
donnabrazile,Donna Brazile ,Followings 2 130 ,Followers 566 124 
AmbassadorRice,Susan Rice ,Followings 237 ,Followers 563 166 
AllenWest,Allen West ,Followings 774 ,Followers 556 567 
JohnEMichel,John Michel ,Followings 366 469 ,Followers 526 296 
TheRevAl,Reverend Al Sharpton ,Followings 196 ,Followers 505 722 
GovMikeHuckabee,Gov. Mike Huckabee ,Followings 516 ,Followers 498 556 
Reince,Reince Priebus ,Followings 359 ,Followers 492 052 
davidaxelrod,David Axelrod ,Followings 430 ,Followers 488 077 
MufiHannemann,Mufi Hannemann ,Followings 3 249 ,Followers 487 094 
LouisFarrakhan,MINISTER FARRAKHAN ,Followings 0 ,Followers 457 889 
JohnKasich,John Kasich ,Followings 10 082 ,Followers 445 162 
Astro_Jose,Jose Hernandez ,Followings 2 410 ,Followers 411 424 
THEHermanCain,Herman Cain ,Followings 1 182 ,Followers 391 180 
Lagarde,Christine Lagarde ,Followings 9 ,Followers 370 456 
GovGaryJohnson,Gov. Gary Johnson ,Followings 3 414 ,Followers 368 064 
SalahiTareq,Tareq Salahi ,Followings 91 ,Followers 364 179 
SenatorReid,Senator Harry Reid ,Followings 154 ,Followers 363 022 
HouseDemocrats,House Democrats ,Followings 242 ,Followers 359 247 
timkaine,Senator Tim Kaine ,Followings 736 ,Followers 356 874 
DWStweets,D Wasserman Schultz ,Followings 823 ,Followers 356 761 
GovernorPerry,Rick Perry ,Followings 29 054 ,Followers 344 251 
TGowdySC,Trey Gowdy ,Followings 429 ,Followers 329 498 
RBReich,Robert Reich ,Followings 100 ,Followers 300 649 
RickSantorum,Rick Santorum ,Followings 1 348 ,Followers 273 803 
PreetBharara,US Attorney Bharara ,Followings 13 ,Followers 271 790 
alfranken,Al Franken ,Followings 46 551 ,Followers 266 209 
MicheleBachmann,Michele Bachmann ,Followings 3 070 ,Followers 262 590 
JohnKingatED,John King ,Followings 259 ,Followers 262 504 
EricCantor,Eric Cantor ,Followings 8 710 ,Followers 260 859 
FreedomWorks,FreedomWorks ,Followings 21 902 ,Followers 258 619 
LindaSuhler,Linda Suhler Ph.D. ,Followings 93 517 ,Followers 253 116 
BorisJohnson,Boris Johnson ,Followings 45 ,Followers 252 002 
SenMikeLee,Mike Lee ,Followings 2 413 ,Followers 244 977 
BobbyJindal,Gov. Bobby Jindal ,Followings 20 617 ,Followers 243 624 
ScottWalker,Scott Walker ,Followings 198 ,Followers 236 624 
VoteRocky2016,Roque De La Fuente ,Followings 215 ,Followers 233 194 
DarrellIssa,Darrell Issa ,Followings 35 016 ,Followers 227 530 
JimDeMint,Jim DeMint ,Followings 7 794 ,Followers 226 159 
GeorgeHWBush,George Bush ,Followings 19 ,Followers 209 330 
KasimReed,Kasim Reed ,Followings 6 142 ,Followers 203 014 
repjohnlewis,John Lewis ,Followings 167 ,Followers 199 634 
GabbyGiffords,Gabrielle Giffords ,Followings 6 194 ,Followers 198 236 
dccc,DCCC ,Followings 60 710 ,Followers 194 212 
SenGillibrand,Kirsten Gillibrand ,Followings 473 ,Followers 193 501 
BishopNoelJones,Bishop Noel Jones ,Followings 298 ,Followers 191 493 
CondoleezzaRice,Condoleezza Rice ,Followings 9 ,Followers 186 300 
jeffarazzi,Jeff Johnson ,Followings 141 656 ,Followers 185 027 
wendydavis,Wendy Davis ,Followings 972 ,Followers 180 256 
RepRonPaul,Ron Paul ,Followings 368 ,Followers 178 856 
TPPatriots,Tea Party Patriots ,Followings 55 005 ,Followers 176 983 
MassGovernor,Charlie Baker ,Followings 11 132 ,Followers 173 613 
GovWalker,Governor Walker ,Followings 248 ,Followers 161 852 
SenSchumer,Chuck Schumer ,Followings 26 750 ,Followers 155 727 
nikkihaley,Nikki Haley ,Followings 172 ,Followers 155 717 
TeamCantor,Team Cantor ,Followings 58 ,Followers 152 142 
jasoninthehouse,Jason Chaffetz ,Followings 1 412 ,Followers 149 903 
ChrisChristie,Chris Christie ,Followings 201 ,Followers 146 191 
ericgarcetti,Eric Garcetti ,Followings 1 819 ,Followers 145 719 
McFaul,Michael McFaul ,Followings 987 ,Followers 142 835 
ForAmerica,ForAmerica ,Followings 51 142 ,Followers 142 806 
billpostmus,Bill Postmus ,Followings 149 809 ,Followers 141 948 
Madam_President,Madam President ,Followings 112 835 ,Followers 137 994 
